Electorate,State,Party
Adelaide,SA,ALP
Aston,VIC,LIB
Ballarat,VIC,ALP
Banks,NSW,LIB
Barker,SA,LIB
Barton,NSW,ALP
Bass,TAS,UNDEC
Bean,ACT,ALP
Bendigo,VIC,ALP
Bennelong,NSW,UNDEC
Berowra,NSW,LIB
Blair,QLD,ALP
Blaxland,NSW,ALP
Bonner,QLD,LNP
Boothby,SA,ALP
Bowman,QLD,LNP
Braddon,TAS,LIB
Bradfield,NSW,LIB
Brand,WA,ALP
Brisbane,QLD,UNDEC
Bruce,VIC,ALP
Burt,WA,ALP
Calare,NSW,NAT
Calwell,VIC,ALP
Canberra,ACT,ALP
Canning,WA,LIB
Capricornia,QLD,LNP
Casey,VIC,LIB
Chifley,NSW,ALP
Chisholm,VIC,ALP
Clark,TAS,IND
Cook,NSW,LIB
Cooper,VIC,ALP
Corangamite,VIC,ALP
Corio,VIC,ALP
Cowan,WA,ALP
Cowper,NSW,UNDEC
Cunningham,NSW,ALP
Curtin,WA,IND
Dawson,QLD,LNP
Deakin,VIC,UNDEC
Dickson,QLD,LNP
Dobell,NSW,ALP
Dunkley,VIC,ALP
Durack,WA,LIB
Eden-Monaro,NSW,ALP
Fadden,QLD,LNP
Fairfax,QLD,LNP
Farrer,NSW,LIB
Fenner,ACT,ALP
Fisher,QLD,LNP
Flinders,VIC,LIB
Flynn,QLD,LNP
Forde,QLD,LNP
Forrest,WA,LIB
Fowler,NSW,IND
Franklin,TAS,ALP
Fraser,VIC,ALP
Fremantle,WA,ALP
Gellibrand,VIC,ALP
Gilmore,NSW,UNDEC
Gippsland,VIC,NAT
Goldstein,VIC,IND
Gorton,VIC,ALP
Grayndler,NSW,ALP
Greenway,NSW,ALP
Grey,SA,LIB
Griffith,QLD,GRN
Groom,QLD,LNP
Hasluck,WA,ALP
Hawke,VIC,ALP
Herbert,QLD,LNP
Higgins,VIC,ALP
Hindmarsh,SA,ALP
Hinkler,QLD,LNP
Holt,VIC,ALP
Hotham,VIC,ALP
Hughes,NSW,LIB
Hume,NSW,LIB
Hunter,NSW,ALP
Indi,VIC,IND
Isaacs,VIC,ALP
Jagajaga,VIC,ALP
Kennedy,QLD,KAP
Kingsford Smith,NSW,ALP
Kingston,SA,ALP
Kooyong,VIC,IND
La Trobe,VIC,LIB
Lalor,VIC,ALP
Leichhardt,QLD,LNP
Lilley,QLD,ALP
Lindsay,NSW,LIB
Lingiari,NT,ALP
Longman,QLD,LNP
Lyne,NSW,NAT
Lyons,TAS,UNDEC
Macarthur,NSW,ALP
Mackellar,NSW,IND
Macnamara,VIC,UNDEC
Macquarie,NSW,ALP
Makin,SA,ALP
Mallee,VIC,NAT
Maranoa,QLD,LNP
Maribyrnong,VIC,ALP
Mayo,SA,CA
McEwen,VIC,ALP
McMahon,NSW,ALP
McPherson,QLD,LNP
Melbourne,VIC,GRN
Menzies,VIC,UNDEC
Mitchell,NSW,LIB
Monash,VIC,LIB
Moncrieff,QLD,LNP
Moore,WA,UNDEC
Moreton,QLD,ALP
New England,NSW,NAT
Newcastle,NSW,ALP
Nicholls,VIC,NAT
North Sydney,NSW,IND
O'Connor,WA,LIB
Oxley,QLD,ALP
Page,NSW,NAT
Parkes,NSW,NAT
Parramatta,NSW,ALP
Paterson,NSW,ALP
Pearce,WA,ALP
Perth,WA,ALP
Petrie,QLD,LNP
Rankin,QLD,ALP
Reid,NSW,ALP
Richmond,NSW,UNDEC
Riverina,NSW,NAT
Robertson,NSW,ALP
Ryan,QLD,GRN
Scullin,VIC,ALP
Shortland,NSW,ALP
Solomon,NT,ALP
Spence,SA,ALP
Sturt,SA,UNDEC
Swan,WA,ALP
Sydney,NSW,ALP
Tangney,WA,ALP
Wannon,VIC,LIB
Warringah,NSW,IND
Watson,NSW,ALP
Wentworth,NSW,IND
Werriwa,NSW,ALP
Whitlam,NSW,ALP
Wide Bay,QLD,LNP
Wills,VIC,ALP
Wright,QLD,LNP