"Pollster","Region","Obama","Romney","Date","Obama.Romney","isNational"
"Rasmussen Tracking","National",47,46,2012-09-24,1,TRUE
"Gallup Tracking","National",48,45,2012-09-24,3,TRUE
"Rasmussen Tracking","National",47,46,2012-09-23,1,TRUE
"PPP","Colorado",51,45,2012-09-23,6,FALSE
"ARG","Nevada",51,44,2012-09-23,7,FALSE
"ARG","Iowa",51,44,2012-09-23,7,FALSE
"WeAskAmerica","Wisconsin",53,41,2012-09-23,12,FALSE
"PPP","Florida",50,46,2012-09-23,4,FALSE
"Washington Post","Florida",51,47,2012-09-23,4,FALSE
"Washington Post","Ohio",52,44,2012-09-23,8,FALSE
"Monmouth University","New Jersey",52,37,2012-09-23,15,FALSE
"Gallup Tracking","National",48,46,2012-09-23,2,TRUE
"Gravis Marketing","Ohio",45,44,2012-09-22,1,FALSE
"ARG","Florida",50,45,2012-09-22,5,FALSE
"Rasmussen Tracking","National",46,46,2012-09-22,0,TRUE
"Gallup Tracking","National",48,46,2012-09-22,2,TRUE
"Rasmussen Tracking","National",46,46,2012-09-21,0,TRUE
"Gallup Tracking","National",47,47,2012-09-21,0,TRUE
"Rasmussen Reports","Michigan",54,42,2012-09-20,12,FALSE
"Retail Assoc. of Nevada/POS","Nevada",46,46,2012-09-20,0,FALSE
"PPP","Nevada",52,43,2012-09-20,9,FALSE
"Tribune Review/Susquehana","Pennsylvania",47,45,2012-09-20,2,FALSE
"Rasmussen Tracking","National",46,45,2012-09-20,1,TRUE
"Omaha World Herald","Nebraska",40,51,2012-09-20,-11,FALSE
"Politico/GWU/Battleground","National",50,47,2012-09-20,3,TRUE
"Gallup Tracking","National",47,47,2012-09-20,0,TRUE
"Mercyhurst University","Pennsylvania",48,40,2012-09-20,8,FALSE
"Rasmussen Reports","Pennsylvania",51,39,2012-09-19,12,FALSE
"Rasmussen Reports","Iowa",44,47,2012-09-19,-3,FALSE
"Civitas","North Carolina",49,45,2012-09-19,4,FALSE
"PPP","Wisconsin",52,45,2012-09-19,7,FALSE
"Star Tribune/Mason Dixon","Minnesota",48,40,2012-09-19,8,FALSE
"Mason Dixon","Montana",42,51,2012-09-19,-9,FALSE
"Miami Herald/Mason Dixon","Florida",48,47,2012-09-19,1,FALSE
"Rasmussen Tracking","National",47,45,2012-09-19,2,TRUE
"National Journal","National",50,43,2012-09-19,7,TRUE
"Purple Strategies","Ohio",48,44,2012-09-19,4,FALSE
"Purple Strategies","Florida",47,48,2012-09-19,-1,FALSE
"Purple Strategies","Virginia",46,43,2012-09-19,3,FALSE
"Purple Strategies","Colorado",48,45,2012-09-19,3,FALSE
"Purple Strategies","Arizona",45,48,2012-09-19,-3,FALSE
"Purple Strategies","North Carolina",48,46,2012-09-19,2,FALSE
"Gallup Tracking","National",47,47,2012-09-19,0,TRUE
"InsiderAdvantage","Georgia",35,56,2012-09-18,-21,FALSE
"Rasmussen Reports","Nevada",47,45,2012-09-18,2,FALSE
"WeAskAmerica","Florida",49,46,2012-09-18,3,FALSE
"WeAskAmerica","Pennsylvania",48,42,2012-09-18,6,FALSE
"Rasmussen Reports","New Hampshire",45,48,2012-09-18,-3,FALSE
"PPP","Maine",55,39,2012-09-18,16,FALSE
"NBC/WSJ/Marist","Colorado",50,45,2012-09-18,5,FALSE
"NBC/WSJ/Marist","Iowa",50,42,2012-09-18,8,FALSE
"NBC/WSJ/Marist","Wisconsin",50,45,2012-09-18,5,FALSE
"Fox News","Ohio",49,42,2012-09-18,7,FALSE
"Fox News","Florida",49,44,2012-09-18,5,FALSE
"Fox News","Virginia",50,43,2012-09-18,7,FALSE
"Rasmussen Tracking","National",46,47,2012-09-18,-1,TRUE
"CNN/Opinion Research","Nevada",49,46,2012-09-18,3,FALSE
"CNN/Opinion Research","Michigan",52,44,2012-09-18,8,FALSE
"Ohio poll/Univ of Cin","Ohio",51,46,2012-09-18,5,FALSE
"Gallup Tracking","National",47,46,2012-09-18,1,TRUE
"High Point","North Carolina",48,44,2012-09-18,4,FALSE
"Talk Business Poll","Arkansas",35,56,2012-09-17,-21,FALSE
"Rasmussen Reports","Wisconsin",49,46,2012-09-17,3,FALSE
"WeAskAmerica","Virginia",49,46,2012-09-17,3,FALSE
"Rasmussen Reports","Colorado",45,47,2012-09-17,-2,FALSE
"Detroit News","Michigan",52,38,2012-09-17,14,FALSE
"MPRC","Maine",54,37,2012-09-17,17,FALSE
"WBUR/MassINC","Massachusetts",59,31,2012-09-17,28,FALSE
"Rasmussen Tracking","National",45,47,2012-09-17,-2,TRUE
"Reason Rupe","National",52,45,2012-09-17,7,TRUE
"Umass/Boston Herald","Massachusetts",59,36,2012-09-17,23,FALSE
"Assoociated Press/GFK","National",47,46,2012-09-17,1,TRUE
"CBS/NYT/Quinnipiac","Colorado",48,47,2012-09-17,1,FALSE
"CBS/NYT/Quinnipiac","Virginia",50,46,2012-09-17,4,FALSE
"CBS/NYT/Quinnipiac","Wisconsin",51,45,2012-09-17,6,FALSE
"Gallup Tracking","National",47,46,2012-09-17,1,TRUE
"Field","California",58,34,2012-09-17,24,FALSE
"Gravis Marketing","Florida",47,48,2012-09-16,-1,FALSE
"Rasmussen Reports","National",45,47,2012-09-16,-2,TRUE
"Marquette University","Wisconsin",54,40,2012-09-16,14,FALSE
"PPP","Massachusetts",57,39,2012-09-16,18,FALSE
"Monmouth/SurveyUSA/Braun","National",48,45,2012-09-16,3,TRUE
"PPP","Virginia",51,46,2012-09-16,5,FALSE
"Pew Research","National",51,43,2012-09-16,8,TRUE
"NBC News/WSJ","National",50,45,2012-09-16,5,TRUE
"Washington Post","Virginia",52,44,2012-09-16,8,FALSE
"Uconn/Hartford Courant","Connecticut",53,32,2012-09-16,21,FALSE
"Morning Call","Pennsylvania",50,41,2012-09-16,9,FALSE
"Gallup Tracking","National",48,45,2012-09-16,3,TRUE
"PPIC","California",53,39,2012-09-16,14,FALSE
"Rasmussen Reports","National",46,47,2012-09-15,-1,TRUE
"MRG","Michigan",48,42,2012-09-15,6,FALSE
"Gallup Tracking","National",48,45,2012-09-15,3,TRUE
"Rasmussen Reports","National",46,48,2012-09-14,-2,TRUE
"Gallup Tracking","National",49,45,2012-09-14,4,TRUE
"Rasmussen Reports","Virginia",49,48,2012-09-13,1,FALSE
"Rasmussen Reports","North Carolina",45,51,2012-09-13,-6,FALSE
"Courier Journal/SurveyUSA","Kentucky",39,53,2012-09-13,-14,FALSE
"Rasmussen Reports","National",45,48,2012-09-13,-3,TRUE
"SurveyUSA","Oregon",50,41,2012-09-13,9,FALSE
"Gallup Tracking","National",49,44,2012-09-13,5,TRUE
"Baydoun/Foster","Michigan",46,44,2012-09-12,2,FALSE
"Rasmussen Reports","Ohio",47,46,2012-09-12,1,FALSE
"Rasmussen Reports","Florida",48,46,2012-09-12,2,FALSE
"Rasmussen Reports","National",46,47,2012-09-12,-1,TRUE
"Philadelphia Inquirer","Pennsylvania",50,39,2012-09-12,11,FALSE
"Philadelphia Inquirer","New Jersey",51,37,2012-09-12,14,FALSE
"Denver PosSurveyUSA","Colorado",47,46,2012-09-12,1,FALSE
"Elway Poll","Washington",53,36,2012-09-12,17,FALSE
"CBS News/NY Times","National",49,46,2012-09-12,3,TRUE
"Democracy Corps","National",50,45,2012-09-12,5,TRUE
"Fairleigh Dickinson","New Jersey",52,38,2012-09-12,14,FALSE
"Gallup Tracking","National",50,44,2012-09-12,6,TRUE
"Rasmussen Reports","Missouri",45,48,2012-09-11,-3,FALSE
"Project New America/Keating","Colorado",49,44,2012-09-11,5,FALSE
"PPP","Minnesota",51,44,2012-09-11,7,FALSE
"PPP","Montana",45,50,2012-09-11,-5,FALSE
"NBC/WSJ/Marist","Virginia",49,44,2012-09-11,5,FALSE
"NBC/WSJ/Marist","Florida",49,44,2012-09-11,5,FALSE
"NBC/WSJ/Marist","Ohio",50,43,2012-09-11,7,FALSE
"SurveyUSA","California",57,35,2012-09-11,22,FALSE
"Fox News","National",48,43,2012-09-11,5,TRUE
"WPA","Texas",40,55,2012-09-11,-15,FALSE
"EPIC MRA","Michigan",47,37,2012-09-11,10,FALSE
"Rasmussen Tracking","National",46,45,2012-09-11,1,TRUE
"AIF/McLaughlin","Florida",47,50,2012-09-10,-3,FALSE
"Esquire/Yahoo! News","National",50,46,2012-09-10,4,TRUE
"Reuters Ipsos","National",48,45,2012-09-10,3,TRUE
"The Simon Poll/SIU","Illinois",47,34,2012-09-10,13,FALSE
"WMUR/UNH","New Hampshire",45,40,2012-09-10,5,FALSE
"Gallup Tracking","National",50,44,2012-09-10,6,TRUE
"Rasmussen Tracking","National",48,45,2012-09-10,3,TRUE
"Gravis Marketing","Virginia",44,49,2012-09-09,-5,FALSE
"PPP","New Mexico",53,42,2012-09-09,11,FALSE
"SurveyUSA","Florida",48,44,2012-09-09,4,FALSE
"PPP","Arizona",44,53,2012-09-09,-9,FALSE
"ABC News/Wash Post","National",49,48,2012-09-09,1,TRUE
"CNN/Opinion Research","National",52,46,2012-09-09,6,TRUE
"SurveyUSA","Washington",54,38,2012-09-09,16,FALSE
"PPP","Ohio",50,45,2012-09-09,5,FALSE
"PPP","North Carolina",49,48,2012-09-09,1,FALSE
"KSTP/Survey USA","Minnesota",50,40,2012-09-09,10,FALSE
"Quinnipiac","New York",62,34,2012-09-09,28,FALSE
"IBD/CSM/TIPP","National",46,44,2012-09-09,2,TRUE
"Gallup Tracking","National",49,44,2012-09-09,5,TRUE
"Rasmussen Tracking","National",50,45,2012-09-09,5,TRUE
"Gravis Marketing","Ohio",47,43,2012-09-08,4,FALSE
"Gallup Tracking","National",49,44,2012-09-08,5,TRUE
"Rasmussen Tracking","National",49,45,2012-09-08,4,TRUE
"Gallup Tracking","National",49,45,2012-09-07,4,TRUE
"Rasmussen Tracking","National",46,44,2012-09-07,2,TRUE
"SurveyUS/Civitas","North Carolina",43,53,2012-09-06,-10,FALSE
"Albuquerque Journal","New Mexico",45,40,2012-09-06,5,FALSE
"Gallup Tracking","National",48,45,2012-09-06,3,TRUE
"Rasmussen Tracking","National",45,46,2012-09-06,-1,TRUE
"WeAskAmerica","Illinois",54,37,2012-09-05,17,FALSE
"Gallup Tracking","National",47,46,2012-09-05,1,TRUE
"Rasmussen Tracking","National",44,47,2012-09-05,-3,TRUE
"Gallup Tracking","National",47,46,2012-09-04,1,TRUE
"Rasmussen Tracking","National",45,48,2012-09-04,-3,TRUE
"CNN/Opinion Research","National",48,48,2012-09-03,0,TRUE
"Gallup Tracking","National",47,46,2012-09-03,1,TRUE
"Rasmussen Tracking","National",45,47,2012-09-03,-2,TRUE
"Gravis Marketing","Ohio",44,47,2012-09-02,-3,FALSE
"Gravis Marketing","Florida",47,48,2012-09-02,-1,FALSE
"PPP","Michigan",51,44,2012-09-02,7,FALSE
"PPP","Colorado",49,46,2012-09-02,3,FALSE
"PPP","Florida",48,47,2012-09-02,1,FALSE
"PPP","North Carolina",48,48,2012-09-02,0,FALSE
"Quinnipiac","New Jersey",51,44,2012-09-02,7,FALSE
"Gallup Tracking","National",47,46,2012-09-02,1,TRUE
"Rasmussen Tracking","National",44,48,2012-09-02,-4,TRUE
"Rasmussen Tracking","National",44,48,2012-09-01,-4,TRUE
"Gallup Tracking","National",47,46,2012-09-01,1,TRUE
"Rasmussen Tracking","National",44,47,2012-08-31,-3,TRUE
"Gallup Tracking","National",47,46,2012-08-31,1,TRUE
"Rasmussen Tracking","National",44,45,2012-08-30,-1,TRUE
"High Point/SurveyUSA","North Carolina",43,46,2012-08-30,-3,FALSE
"Elon Univ./Charlotte Observer","North Carolina",43,47,2012-08-30,-4,FALSE
"Gallup Tracking","National",47,46,2012-08-30,1,TRUE
"PPP","Missouri",41,53,2012-08-29,-12,FALSE
"Rasmussen Tracking","National",45,45,2012-08-29,0,TRUE
"Gallup Tracking","National",47,46,2012-08-29,1,TRUE
"EPIC MRA","Michigan",49,46,2012-08-28,3,FALSE
"Rasmussen Tracking","National",46,45,2012-08-28,1,TRUE
"Gallup Tracking","National",47,46,2012-08-28,1,TRUE
"Democracy Corps","National",49,47,2012-08-27,2,TRUE
"Rasmussen Tracking","National",47,44,2012-08-26,3,TRUE
"PPP","Nevada",50,47,2012-08-26,3,FALSE
"PPP","Iowa",47,45,2012-08-26,2,FALSE
"CBS News","National",46,45,2012-08-26,1,TRUE
"Quinnipiac","Connecticut",52,45,2012-08-26,7,FALSE
"CNN/Time","Florida",50,46,2012-08-26,4,FALSE
"CNN/Time","North Carolina",47,48,2012-08-26,-1,FALSE
"Gallup Tracking","National",46,47,2012-08-26,-1,TRUE
"Rutgers Eagleton","New Jersey",51,37,2012-08-25,14,FALSE
"Rasmussen Tracking","National",47,45,2012-08-25,2,TRUE
"ABC News/Wash Post","National",46,47,2012-08-25,-1,TRUE
"Gallup Tracking","National",46,46,2012-08-25,0,TRUE
"Columbus Dispatch","Ohio",45,45,2012-08-25,0,FALSE
"Rasmussen Tracking","National",46,45,2012-08-24,1,TRUE
"Gallup Tracking","National",46,46,2012-08-24,0,TRUE
"Mitchell Research","Michigan",47,47,2012-08-23,0,FALSE
"Rasmussen Reports","Virginia",47,47,2012-08-23,0,FALSE
"PPP","Connecticut",53,40,2012-08-23,13,FALSE
"Post Dispatch/Mason Dixon","Missouri",43,50,2012-08-23,-7,FALSE
"CNN/Opinion Research","National",49,47,2012-08-23,2,TRUE
"Philadelphia Inquirer","Pennsylvania",51,42,2012-08-23,9,FALSE
"Rasmussen Tracking","National",45,46,2012-08-23,-1,TRUE
"High Point/SurveyUSA","North Carolina",43,43,2012-08-23,0,FALSE
"Gallup Tracking","National",46,46,2012-08-23,0,TRUE
"Rasmussen Reports","Missouri",47,46,2012-08-22,1,FALSE
"Keating","Colorado",48,44,2012-08-22,4,FALSE
"Morning Call","Pennsylvania",49,40,2012-08-22,9,FALSE
"Rasmussen Tracking","National",45,45,2012-08-22,0,TRUE
"Resurgent Republic","National",46,45,2012-08-22,1,TRUE
"Gallup Tracking","National",46,46,2012-08-22,0,TRUE
"Rasmussen Reports","Connecticut",51,43,2012-08-21,8,FALSE
"Rasmussen Reports","New Mexico",52,38,2012-08-21,14,FALSE
"Fox News","National",44,45,2012-08-21,-1,TRUE
"Rasmussen Tracking","National",44,46,2012-08-21,-2,TRUE
"Ohio poll/Univ of Cin","Ohio",49,46,2012-08-21,3,FALSE
"LVRJ/SurveyUSA","Nevada",47,45,2012-08-21,2,FALSE
"CBS/NYT/Quinnipiac","Florida",49,46,2012-08-21,3,FALSE
"CBS/NYT/Quinnipiac","Ohio",50,44,2012-08-21,6,FALSE
"CBS/NYT/Quinnipiac","Wisconsin",49,47,2012-08-21,2,FALSE
"Gallup Tracking","National",45,47,2012-08-21,-2,TRUE
"Castleton State College","Vermont",62,25,2012-08-21,37,FALSE
"Rasmussen Reports","Montana",38,55,2012-08-20,-17,FALSE
"Detroit News","Michigan",48,42,2012-08-20,6,FALSE
"Rasmussen Tracking","National",44,45,2012-08-20,-1,TRUE
"NBC/Wall St. Jrnl","National",48,44,2012-08-20,4,TRUE
"Assoociated Press/GFK","National",47,46,2012-08-20,1,TRUE
"Gallup Tracking","National",45,47,2012-08-20,-2,TRUE
"Rasmussen Tracking","National",43,44,2012-08-19,-1,TRUE
"Marquette University","Wisconsin",49,46,2012-08-19,3,FALSE
"PPP","Massachusetts",55,39,2012-08-19,16,FALSE
"PPP","Wisconsin",47,48,2012-08-19,-1,FALSE
"Monmouth/SurveyUSA/Braun","National",46,45,2012-08-19,1,TRUE
"Siena","New York",62,33,2012-08-19,29,FALSE
"LA Times/USC","National",48,46,2012-08-19,2,TRUE
"Gallup Tracking","National",45,47,2012-08-19,-2,TRUE
"Gallup Tracking","National",45,47,2012-08-18,-2,TRUE
"Rasmussen Tracking","National",46,44,2012-08-17,2,TRUE
"Gallup Tracking","National",45,47,2012-08-17,-2,TRUE
"Baydoun/Foster","Michigan",44,48,2012-08-16,-4,FALSE
"Rasmussen Tracking","National",46,45,2012-08-16,1,TRUE
"Gallup Tracking","National",45,47,2012-08-16,-2,TRUE
"Rasmussen Reports","Wisconsin",47,48,2012-08-15,-1,FALSE
"Rasmussen Reports","Florida",43,45,2012-08-15,-2,FALSE
"Rasmussen Tracking","National",44,45,2012-08-15,-1,TRUE
"Gallup Tracking","National",45,47,2012-08-15,-2,TRUE
"CNN/Opinion Research","Wisconsin",49,45,2012-08-14,4,FALSE
"Purple Strategies","Ohio",44,46,2012-08-14,-2,FALSE
"Purple Strategies","Florida",47,48,2012-08-14,-1,FALSE
"Purple Strategies","Colorado",49,46,2012-08-14,3,FALSE
"Purple Strategies","Virginia",45,48,2012-08-14,-3,FALSE
"Rasmussen Tracking","National",43,47,2012-08-14,-4,TRUE
"Gallup Tracking","National",45,47,2012-08-14,-2,TRUE
"Gallup Tracking","National",45,47,2012-08-14,-2,TRUE
"Sooner Poll","Oklahoma",29,58,2012-08-14,-29,FALSE
"Rasmussen Reports","Ohio",45,45,2012-08-13,0,FALSE
"Rasmussen Tracking","National",44,47,2012-08-13,-3,TRUE
"Rasmussen Tracking","National",44,47,2012-08-12,-3,TRUE
"PPP","Ohio",48,45,2012-08-12,3,FALSE
"PPP","New Hampshire",51,45,2012-08-12,6,FALSE
"SurveyUSA","Missouri",44,45,2012-08-12,-1,FALSE
"Franklin Marshall","Pennsylvania",47,42,2012-08-12,5,FALSE
"Gallup Tracking","National",46,46,2012-08-12,0,TRUE
"WMUR/UNH","New Hampshire",49,46,2012-08-12,3,FALSE
"Rasmussen Tracking","National",44,46,2012-08-11,-2,TRUE
"Gallup Tracking","National",46,46,2012-08-11,0,TRUE
"Rasmussen Tracking","National",44,46,2012-08-10,-2,TRUE
"Gallup Tracking","National",46,46,2012-08-10,0,TRUE
"IBD/CSM/TIPP","National",46,39,2012-08-10,7,TRUE
"Rasmussen Tracking","National",43,47,2012-08-09,-4,TRUE
"Politico/GWU/Battleground","National",48,47,2012-08-09,1,TRUE
"Gallup Tracking","National",46,46,2012-08-09,0,TRUE
"Rasmussen Reports","Iowa",44,46,2012-08-08,-2,FALSE
"CNN/Opinion Research","National",52,45,2012-08-08,7,TRUE
"Rasmussen Tracking","National",43,47,2012-08-08,-4,TRUE
"Gallup Tracking","National",47,45,2012-08-08,2,TRUE
"Rasmussen Reports","Virginia",48,46,2012-08-07,2,FALSE
"Fox","National",49,40,2012-08-07,9,TRUE
"Rasmussen Tracking","National",45,45,2012-08-07,0,TRUE
"Rasmussen Reports","Colorado",47,47,2012-08-06,0,FALSE
"Rasmussen Tracking","National",46,45,2012-08-06,1,TRUE
"Reuters Ipsos","National",49,42,2012-08-06,7,TRUE
"CBS/NYT/Quinnipiac","Virginia",49,45,2012-08-06,4,FALSE
"CBS/NYT/Quinnipiac","Colorado",45,50,2012-08-06,-5,FALSE
"CBS/NYT/Quinnipiac","Wisconsin",51,45,2012-08-06,6,FALSE
"Gallup Tracking","National",46,46,2012-08-06,0,TRUE
"Rasmussen Tracking","National",47,45,2012-08-05,2,TRUE
"Marquette University","Wisconsin",50,45,2012-08-05,5,FALSE
"PPP","Colorado",49,43,2012-08-05,6,FALSE
"PPP","North Carolina",49,46,2012-08-05,3,FALSE
"Gallup Tracking","National",46,45,2012-08-05,1,TRUE
"Rasmussen Tracking","National",45,47,2012-08-04,-2,TRUE
"Rasmussen Tracking","National",44,46,2012-08-03,-2,TRUE
"Gallup Tracking","National",47,45,2012-08-03,2,TRUE
"Survey USA","Washington",54,37,2012-08-02,17,FALSE
"Rasmussen Tracking","National",43,47,2012-08-02,-4,TRUE
"Gallup Tracking","National",47,45,2012-08-02,2,TRUE
"Rasmussen Reports","North Carolina",44,49,2012-08-01,-5,FALSE
"Rasmussen Reports","Indiana",35,51,2012-08-01,-16,FALSE
"Rasmussen Tracking","National",44,46,2012-08-01,-2,TRUE
"Gallup Tracking","National",47,45,2012-08-01,2,TRUE
"Rasmussen Tracking","National",44,47,2012-07-31,-3,TRUE
"Gallup Tracking","National",47,45,2012-07-31,2,TRUE
"EPIC MRA","Michigan",48,42,2012-07-31,6,FALSE
"Rasmussen Reports","Missouri",44,50,2012-07-30,-6,FALSE
"Rasmussen Tracking","National",44,47,2012-07-30,-3,TRUE
"CBS/NYT/Quinnipiac","Ohio",50,44,2012-07-30,6,FALSE
"CBS/NYT/Quinnipiac","Florida",51,45,2012-07-30,6,FALSE
"CBS/NYT/Quinnipiac","Pennsylvania",53,42,2012-07-30,11,FALSE
"Gallup Tracking","National",47,45,2012-07-30,2,TRUE
"Rasmussen Tracking","National",44,47,2012-07-29,-3,TRUE
"","Connecticut",51,43,2012-07-29,8,FALSE
"PPP","Florida",48,47,2012-07-29,1,FALSE
"Fairleigh Dickinson","New Jersey",49,36,2012-07-29,13,FALSE
"Gallup Tracking","National",46,46,2012-07-29,0,TRUE
"Rasmussen Tracking","National",45,47,2012-07-28,-2,TRUE
"Gallup Tracking","National",46,46,2012-07-28,0,TRUE
"Rasmussen Tracking","National",44,48,2012-07-27,-4,TRUE
"Rasmussen Tracking","National",44,49,2012-07-26,-5,TRUE
"Pew Research","National",51,41,2012-07-26,10,TRUE
"Rasmussen Reports","Wisconsin",49,46,2012-07-25,3,FALSE
"PPP","Arizona",41,52,2012-07-25,-11,FALSE
"Post Dispatch/Mason Dixon","Missouri",42,51,2012-07-25,-9,FALSE
"Rasmussen Tracking","National",44,48,2012-07-25,-4,TRUE
"Democracy Corps","National",50,46,2012-07-25,4,TRUE
"Gallup Tracking","National",44,48,2012-07-25,-4,TRUE
"WeAskAmerica","Ohio",48,40,2012-07-24,8,FALSE
"Rasmussen Reports","Nevada",50,45,2012-07-24,5,FALSE
"WeAskAmerica","Missouri",40,49,2012-07-24,-9,FALSE
"Rasmussen Tracking","National",44,47,2012-07-24,-3,TRUE
"Gallup Tracking","National",45,46,2012-07-24,-1,TRUE
"Mitchell Research","Michigan",44,45,2012-07-23,-1,FALSE
"Rasmussen Reports","Michigan",48,42,2012-07-23,6,FALSE
"PPP","Michigan",53,39,2012-07-23,14,FALSE
"PPP","Pennsylvania",49,43,2012-07-23,6,FALSE
"Rasmussen Tracking","National",44,45,2012-07-23,-1,TRUE
"Quinnipiac","New York",55,32,2012-07-23,23,FALSE
"Gallup Tracking","National",46,45,2012-07-23,1,TRUE
"Rasmussen Tracking","National",43,46,2012-07-22,-3,TRUE
"Monmouth University","New Jersey",50,42,2012-07-22,8,FALSE
"NBC News/Wall St. Jrnl","National",49,43,2012-07-22,6,TRUE
"Gallup Tracking","National",46,45,2012-07-22,1,TRUE
"Rasmussen Tracking","National",44,46,2012-07-21,-2,TRUE
"Gallup Tracking","National",46,45,2012-07-21,1,TRUE
"Rasmussen Tracking","National",46,46,2012-07-20,0,TRUE
"Gallup Tracking","National",48,44,2012-07-20,4,TRUE
"KSTP/Survey USA","Minnesota",46,40,2012-07-19,6,FALSE
"Survey USA","Florida",48,43,2012-07-19,5,FALSE
"Rasmussen Tracking","National",47,46,2012-07-19,1,TRUE
"Gallup Tracking","National",48,44,2012-07-19,4,TRUE
"Rasmussen Reports","Pennsylvania",48,44,2012-07-18,4,FALSE
"Rasmussen Reports","Ohio",47,45,2012-07-18,2,FALSE
"WeAskAmerica","Nevada",49,43,2012-07-18,6,FALSE
"WeAskAmerica","Wisconsin",49,42,2012-07-18,7,FALSE
"Civitas","North-Carolina",48,49,2012-07-18,-1,FALSE
"Survey USA","Washington",46,37,2012-07-18,9,FALSE
"Rasmussen Tracking","National",46,47,2012-07-18,-1,TRUE
"Gallup Tracking","National",46,46,2012-07-18,0,TRUE
"AFP/Magellan","Nevada",50,46,2012-07-17,4,FALSE
"Rasmussen Reports","Virginia",47,46,2012-07-17,1,FALSE
"Fox","National",45,41,2012-07-17,4,TRUE
"Rasmussen Tracking","National",46,47,2012-07-17,-1,TRUE
"Gallup Tracking","National",47,45,2012-07-17,2,TRUE
"Rasmussen Tracking","National",44,47,2012-07-16,-3,TRUE
"PPP","New-Mexico",49,44,2012-07-16,5,FALSE
