"Pollster","Region","Obama","Romney","Date","Obama.Romney","isNational"
"CBS News   New York Times","National",46,47,2012-07-16,-1,TRUE
"Quinnipiac","Virginia",44,44,2012-07-16,0,FALSE
"Gallup Tracking","National",47,45,2012-07-16,2,TRUE
"Rasmussen Tracking","National",44,46,2012-07-15,-2,TRUE
"PPP","Iowa",48,43,2012-07-15,5,FALSE
"Siena","New-York",61,34,2012-07-15,27,FALSE
"Quinnipiac","New-Jersey",49,38,2012-07-15,11,FALSE
"Gallup Tracking","National",47,45,2012-07-15,2,TRUE
"WMUR/UNH","New-Hampshire",49,45,2012-07-15,4,FALSE
"Rasmussen Tracking","National",45,45,2012-07-14,0,TRUE
"Gallup Tracking","National",47,45,2012-07-14,2,TRUE
"Rasmussen Tracking","National",46,45,2012-07-13,1,TRUE
"Purple Strategies","Ohio",48,45,2012-07-13,3,FALSE
"Purple Strategies","Florida",45,48,2012-07-13,-3,FALSE
"Purple Strategies","Virginia",46,44,2012-07-13,2,FALSE
"Purple Strategies","Colorado",45,44,2012-07-13,1,FALSE
"Gallup Tracking","National",46,46,2012-07-13,0,TRUE
"Rasmussen Tracking","National",46,45,2012-07-12,1,TRUE
"NPR","National",47,45,2012-07-12,2,TRUE
"Gallup Tracking","National",46,46,2012-07-12,0,TRUE
"Rasmussen Reports","North-Dakota",36,51,2012-07-11,-15,FALSE
"McClatchy Marist","National",48,46,2012-07-11,2,TRUE
"Mason Dixon","Florida",46,45,2012-07-11,1,FALSE
"Rasmussen Reports","National",45,46,2012-07-11,-1,TRUE
"Gallup Tracking","National",47,44,2012-07-11,3,TRUE
"WeAskAmerica","Pennsylvania",47,40,2012-07-10,7,FALSE
"WeAskAmerica","New-Mexico",51,40,2012-07-10,11,FALSE
"Rasmussen Reports","National",45,46,2012-07-10,-1,TRUE
"Gallup Tracking","National",45,47,2012-07-10,-2,TRUE
"Rasmussen Reports","Florida",45,46,2012-07-09,-1,FALSE
"Rasmussen Reports","National",44,47,2012-07-09,-3,TRUE
"Reuters Ipsos","National",49,43,2012-07-09,6,TRUE
"Gallup Tracking","National",46,46,2012-07-09,0,TRUE
"Pew Research","National",50,43,2012-07-09,7,TRUE
"Wash Times/JZ Analytics","National",42,43,2012-07-08,-1,TRUE
"Rasmussen Reports","National",45,46,2012-07-08,-1,TRUE
"Marquette University","Wisconsin",51,43,2012-07-08,8,FALSE
"PPP","Wisconsin",50,44,2012-07-08,6,FALSE
"ABC Wash Post","National",47,47,2012-07-08,0,TRUE
"PPP","Virginia",50,42,2012-07-08,8,FALSE
"PPP","North-Carolina",47,46,2012-07-08,1,FALSE
"Project New America/myers","North-Carolina",48,49,2012-07-08,-1,FALSE
"Quinnipiac","National",46,43,2012-07-08,3,TRUE
"Gallup Tracking","National",47,45,2012-07-08,2,TRUE
"Rasmussen Reports","National",45,45,2012-07-07,0,TRUE
"Gallup Tracking","National",47,45,2012-07-07,2,TRUE
"Rasmussen Reports","National",45,45,2012-07-06,0,TRUE
"Gallup Tracking","National",47,45,2012-07-06,2,TRUE
"Rasmussen Reports","National",44,46,2012-07-05,-2,TRUE
"Gallup Tracking","National",48,44,2012-07-05,4,TRUE
"Gallup Tracking","National",48,44,2012-07-03,4,TRUE
"Gallup Tracking","National",48,44,2012-07-02,4,TRUE
"WeAskAmerica","Florida",46,45,2012-07-02,1,FALSE
"Rasmussen Reports","National",44,47,2012-07-02,-3,TRUE
"Field","California",55,37,2012-07-02,18,FALSE
"Civitas","North-Carolina",45,50,2012-07-01,-5,FALSE
"Rasmussen Reports","National",44,46,2012-07-01,-2,TRUE
"CNN/Opinion Research","National",49,46,2012-07-01,3,TRUE
"Gallup Tracking","National",48,43,2012-07-01,5,TRUE
"Rasmussen Reports","National",45,45,2012-06-30,0,TRUE
"Gallup Tracking","National",47,44,2012-06-30,3,TRUE
"Rasmussen Reports","National",46,44,2012-06-29,2,TRUE
"Gallup Tracking","National",47,44,2012-06-29,3,TRUE
"Newsweek/Daily Beast","National",47,44,2012-06-28,3,TRUE
"Rasmussen Reports","National",45,44,2012-06-28,1,TRUE
"Gallup Tracking","National",48,43,2012-06-28,5,TRUE
"Rasmussen Reports","National",45,45,2012-06-27,0,TRUE
"Democracy Corps Poll","National",49,46,2012-06-27,3,TRUE
"Gallup Tracking","National",47,44,2012-06-27,3,TRUE
"Rasmussen Reports","Arizona",41,54,2012-06-26,-13,FALSE
"Fox","National",45,40,2012-06-26,5,TRUE
"Rasmussen Reports","National",45,46,2012-06-26,-1,TRUE
"Gallup Tracking","National",46,44,2012-06-26,2,TRUE
"Rasmussen Reports","North-Carolina",44,47,2012-06-25,-3,FALSE
"WeAskAmerica","Virginia",43,48,2012-06-25,-5,FALSE
"WeAskAmerica","Colorado",47,43,2012-06-25,4,FALSE
"NBC News/Marist","New-Hampshire",45,45,2012-06-25,0,FALSE
"NBC News/Marist","Michigan",47,43,2012-06-25,4,FALSE
"NBC News/Marist","North-Carolina",46,44,2012-06-25,2,FALSE
"Rasmussen Reports","National",45,47,2012-06-25,-2,TRUE
"Critical Insights","Maine",49,35,2012-06-25,14,FALSE
"Quinnipiac","Florida",45,41,2012-06-25,4,FALSE
"Quinnipiac","Ohio",47,38,2012-06-25,9,FALSE
"Quinnipiac","Pennsylvania",45,39,2012-06-25,6,FALSE
"Gallup Tracking","National",45,46,2012-06-25,-1,TRUE
"PPP","Massachusetts",55,39,2012-06-24,16,FALSE
"Rasmussen Reports","National",45,47,2012-06-24,-2,TRUE
"PPP","Ohio",47,44,2012-06-24,3,FALSE
"NBC News/Wall St. Jrnl","National",47,44,2012-06-24,3,TRUE
"Gallup Tracking","National",45,46,2012-06-24,-1,TRUE
"Rasmussen Reports","National",43,48,2012-06-23,-5,TRUE
"Gallup Tracking","National",46,45,2012-06-23,1,TRUE
"Rasmussen Reports","National",43,48,2012-06-22,-5,TRUE
"Gallup Tracking","National",46,46,2012-06-22,0,TRUE
"Rasmussen Reports","National",43,48,2012-06-21,-5,TRUE
"Desert News/KSL","Utah",26,68,2012-06-21,-42,FALSE
"Gallup Tracking","National",45,46,2012-06-21,-1,TRUE
"Rasmussen Reports","New Hampshire",48,43,2012-06-20,5,FALSE
"Rasmussen Reports","National",43,47,2012-06-20,-4,TRUE
"Gallup Tracking","National",45,47,2012-06-20,-2,TRUE
"Rasmussen Reports","National",45,47,2012-06-19,-2,TRUE
"Gallup Tracking","National",45,47,2012-06-19,-2,TRUE
"Mitchell Research","Michigan",47,46,2012-06-18,1,FALSE
"Rasmussen Reports","Montana",42,51,2012-06-18,-9,FALSE
"WeAskAmerica","Michigan",43,45,2012-06-18,-2,FALSE
"WeAskAmerica","Iowa",45,44,2012-06-18,1,FALSE
"Rasmussen Reports","National",44,48,2012-06-18,-4,TRUE
"Bloomberg","National",53,40,2012-06-18,13,TRUE
"Assoociated Press/GFK","National",47,44,2012-06-18,3,TRUE
"Quinnipiac","Florida",46,42,2012-06-18,4,FALSE
"Gallup Tracking","National",45,46,2012-06-18,-1,TRUE
"Rasmussen Reports","National",44,47,2012-06-17,-3,TRUE
"PPP","Washington",54,41,2012-06-17,13,FALSE
"PPP","Colorado",49,42,2012-06-17,7,FALSE
"Gallup Tracking","National",46,46,2012-06-17,0,TRUE
"Pew Research","National",50,46,2012-06-17,4,TRUE
"Gallup Tracking","National",45,46,2012-06-16,-1,TRUE
"Marquette University","Wisconsin",49,43,2012-06-16,6,FALSE
"Elway Poll","Washington",49,41,2012-06-16,8,FALSE
"Rasmussen Reports","National",44,47,2012-06-16,-3,TRUE
"Rasmussen Reports","National",45,47,2012-06-15,-2,TRUE
"Gallup Tracking","National",45,46,2012-06-15,-1,TRUE
"Rasmussen Reports","Michigan",50,42,2012-06-14,8,FALSE
"WBUR/MassINC","Maine",48,34,2012-06-14,14,FALSE
"Rasmussen Reports","National",45,47,2012-06-14,-2,TRUE
"Gallup Tracking","National",45,46,2012-06-14,-1,TRUE
"Rasmussen Reports","National",44,48,2012-06-13,-4,TRUE
"Gallup Tracking","National",46,45,2012-06-13,1,TRUE
"Baydoun/Foster","Michigan",56,33,2012-06-12,23,FALSE
"Gallup Tracking","National",46,45,2012-06-12,1,TRUE
"Rasmussen","National",44,48,2012-06-12,-4,TRUE
"Rasmussen Reports","Wisconsin",44,47,2012-06-12,-3,FALSE
"Rasmussen Reports","Iowa",46,47,2012-06-11,-1,FALSE
"Rasmussen","National",45,46,2012-06-11,-1,TRUE
"Reuters Ipsos","National",45,44,2012-06-11,1,TRUE
"Gallup Tracking","National",46,45,2012-06-11,1,TRUE
"Rasmussen","National",44,47,2012-06-10,-3,TRUE
"PPP","Nevada",48,42,2012-06-10,6,FALSE
"PPP","North-Carolina",46,48,2012-06-10,-2,FALSE
"Quinnipiac","Pennsylvania",46,40,2012-06-10,6,FALSE
"Gallup Tracking","National",45,46,2012-06-10,-1,TRUE
"Rasmussen","National",45,46,2012-06-09,-1,TRUE
"Gallup Tracking","National",45,46,2012-06-09,-1,TRUE
"Rasmussen","National",45,46,2012-06-08,-1,TRUE
"Gallup Tracking","National",46,45,2012-06-08,1,TRUE
"IBD CSM TIPP","National",46,42,2012-06-08,4,TRUE
"Rasmussen Reports","Missouri",42,49,2012-06-07,-7,FALSE
"Rasmussen","National",47,45,2012-06-07,2,TRUE
"Gallup Tracking","National",46,45,2012-06-07,1,TRUE
"Rasmussen","Colorado",45,45,2012-06-06,0,FALSE
"WeAskAmerica","Wisconsin",48,43,2012-06-06,5,FALSE
"Mason Dixon","North-Dakota",39,52,2012-06-06,-13,FALSE
"Monmouth/SurveyUSA/Braun","National",47,46,2012-06-06,1,TRUE
"Rasmussen","National",46,46,2012-06-06,0,TRUE
"Rasmussen","National",46,46,2012-06-06,0,TRUE
"Siena","New-York",59,35,2012-06-06,24,FALSE
"Gallup Tracking","National",45,47,2012-06-06,-2,TRUE
"Project New America/PPP","Arizona",46,49,2012-06-05,-3,FALSE
"Fox","National",43,43,2012-06-05,0,TRUE
"Rasmussen","National",46,46,2012-06-05,0,TRUE
"EPIC MRA","Michigan",45,46,2012-06-05,-1,FALSE
"Purple Strategies","Ohio",45,48,2012-06-05,-3,FALSE
"Purple Strategies","Virginia",49,46,2012-06-05,3,FALSE
"Purple Strategies","Florida",49,45,2012-06-05,4,FALSE
"Purple Strategies","Colorado",48,46,2012-06-05,2,FALSE
"Gallup Tracking","National",46,45,2012-06-05,1,TRUE
"Rasmussen","National",45,46,2012-06-04,-1,TRUE
"Rutgers Eagleton","New-Jersey",47,46,2012-06-04,1,FALSE
"Quinnipiac","Virginia",47,42,2012-06-04,5,FALSE
"Quinnipiac","Virginia",47,42,2012-06-04,5,FALSE
"Franklin Marshall","Pennsylvania",48,36,2012-06-04,12,FALSE
"Gallup Tracking","National",46,45,2012-06-04,1,TRUE
"Rasmussen","Virginia",47,47,2012-06-03,0,FALSE
"Rasmussen","National",44,47,2012-06-03,-3,TRUE
"PPP","Florida",46,50,2012-06-03,-4,FALSE
"PPP","Minnesota",54,39,2012-06-03,15,FALSE
"Quinnipiac","Connecticut",50,38,2012-06-03,12,FALSE
"Gallup Tracking","National",46,45,2012-06-03,1,TRUE
"Rasmussen","National",44,48,2012-06-02,-4,TRUE
"Gallup Tracking","National",47,45,2012-06-02,2,TRUE
"Rasmussen","National",44,48,2012-06-01,-4,TRUE
"Gallup Tracking","National",46,45,2012-06-01,1,TRUE
"Western NE University","Massachusetts",56,34,2012-05-31,22,FALSE
"CNN/Opinion Research","National",49,46,2012-05-31,3,TRUE
"Rasmussen","National",45,46,2012-05-31,-1,TRUE
"Boston Globe","Massachusetts",46,34,2012-05-31,12,FALSE
"Gallup Tracking","National",45,46,2012-05-31,-1,TRUE
"Rasmussen","National",45,46,2012-05-30,-1,TRUE
"Gallup Tracking","National",47,44,2012-05-30,3,TRUE
"Rasmussen","Ohio",44,46,2012-05-29,-2,FALSE
"Survey USA","California",57,36,2012-05-29,21,FALSE
"Rasmussen","National",45,45,2012-05-29,0,TRUE
"Gallup Tracking","National",46,46,2012-05-29,0,TRUE
"Field","California",48,32,2012-05-29,16,FALSE
"Rasmussen","National",46,45,2012-05-28,1,TRUE
"Quinnipiac","New-York",56,31,2012-05-28,25,FALSE
"Rasmussen","National",44,45,2012-05-27,-1,TRUE
"PPP","Missouri",45,44,2012-05-27,1,FALSE
"PPP","Michigan",53,39,2012-05-27,14,FALSE
"Gallup Tracking","National",47,45,2012-05-27,2,TRUE
"Rasmussen","National",45,45,2012-05-26,0,TRUE
"Marquette University","Wisconsin",51,43,2012-05-26,8,FALSE
"Gallup Tracking","National",47,45,2012-05-26,2,TRUE
"Rasmussen","National",44,45,2012-05-25,-1,TRUE
"Gallup Tracking","National",47,45,2012-05-25,2,TRUE
"NBC News/Marist","Nevada",48,46,2012-05-24,2,FALSE
"NBC News/Marist","Colorado",46,45,2012-05-24,1,FALSE
"NBC News/Marist","Iowa",44,44,2012-05-24,0,FALSE
"Rasmussen","National",44,45,2012-05-24,-1,TRUE
"Project New America/Keating","Colorado",48,44,2012-05-24,4,FALSE
"Gallup Tracking","National",47,46,2012-05-24,1,TRUE
"Rasmussen","National",45,44,2012-05-23,1,TRUE
"Gallup Tracking","National",47,46,2012-05-23,1,TRUE
"InsiderAdvantage","Georgia",40,52,2012-05-22,-12,FALSE
"Suffolk/7News","Massachusetts",59,34,2012-05-22,25,FALSE
"Rasmussen","National",46,45,2012-05-22,1,TRUE
"WPR/St.Norbert","Wisconsin",49,43,2012-05-22,6,FALSE
"Gallup Tracking","National",46,46,2012-05-22,0,TRUE
"Rasmussen","Pennsylvania",47,41,2012-05-21,6,FALSE
"Rasmussen","National",46,44,2012-05-21,2,TRUE
"Survey USA","North-Carolina",44,45,2012-05-21,-1,FALSE
"LA Times/USC","California",56,37,2012-05-21,19,FALSE
"Quinnipiac","Florida",41,47,2012-05-21,-6,FALSE
"Gallup Tracking","National",46,46,2012-05-21,0,TRUE
"Civitas ","North-Carolina",45,47,2012-05-20,-2,FALSE
"Rasmussen","National",47,44,2012-05-20,3,TRUE
"NBC News/Marist","Ohio",48,42,2012-05-20,6,FALSE
"NBC News/Marist","Florida",48,44,2012-05-20,4,FALSE
"NBC News/Marist","Virginia",48,44,2012-05-20,4,FALSE
"PPP","Pennsylvania",50,42,2012-05-20,8,FALSE
"ABC Wash Post","National",49,46,2012-05-20,3,TRUE
"NBC/WSJ","National",47,43,2012-05-20,4,TRUE
"PPIC","California",50,39,2012-05-20,11,FALSE
"Gallup Tracking","National",46,46,2012-05-20,0,TRUE
"Rasmussen","National",46,44,2012-05-19,2,TRUE
"Gallup Tracking","National",45,46,2012-05-19,-1,TRUE
"Rasmussen","National",46,45,2012-05-18,1,TRUE
"Gallup Tracking","National",44,47,2012-05-18,-3,TRUE
"Rasmussen","National",44,46,2012-05-17,-2,TRUE
"Gallup Tracking","National",45,46,2012-05-17,-1,TRUE
"Rasmussen","Nebraska",39,53,2012-05-16,-14,FALSE
"Rasmussen","National",45,46,2012-05-16,-1,TRUE
"Gallup Tracking","National",45,45,2012-05-16,0,TRUE
"IBD CSM TIPP","National",43,40,2012-05-16,3,TRUE
"Castleton State College","Vermont",59,28,2012-05-16,31,FALSE
"Fox","National",46,39,2012-05-15,7,TRUE
"Rasmussen","National",46,47,2012-05-15,-1,TRUE
"Gallup Tracking","National",45,45,2012-05-15,0,TRUE
"Rasmussen","North-Carolina",43,51,2012-05-14,-8,FALSE
"Rasmussen","National",45,47,2012-05-14,-2,TRUE
"Mason Dixon","National",44,47,2012-05-14,-3,TRUE
"Quinnipiac","New-Jersey",49,39,2012-05-14,10,FALSE
"Gallup Tracking","National",46,45,2012-05-14,1,TRUE
"Daily Kos/PPP","Wisconsin",47,46,2012-05-13,1,FALSE
"CBS News   New York Times","National",43,46,2012-05-13,-3,TRUE
"PPP","North-Carolina",48,47,2012-05-13,1,FALSE
"PPP","New-Hampshire",53,41,2012-05-13,12,FALSE
"Gallup Tracking","National",46,45,2012-05-13,1,TRUE
"Wash Times/JZ Analytics","National",43,44,2012-05-12,-1,TRUE
"Rasmussen","National",44,48,2012-05-12,-4,TRUE
"Marquette University","Wisconsin",46,46,2012-05-12,0,FALSE
"Gallup Tracking","National",46,45,2012-05-12,1,TRUE
"Glengariff Group ","Michigan",45,40,2012-05-11,5,FALSE
"Rasmussen","National",42,50,2012-05-11,-8,TRUE
"Gallup Tracking","National",46,45,2012-05-11,1,TRUE
"Landmark/Rosetta Stone","Georgia",40,51,2012-05-10,-11,FALSE
"Survey USA","Minnesota",52,38,2012-05-10,14,FALSE
"Rasmussen","National",43,50,2012-05-10,-7,TRUE
"Sooner Poll","Oklahoma",27,62,2012-05-10,-35,FALSE
"Survey USA","Oregon",47,43,2012-05-10,4,FALSE
"Siena ","New-York",57,37,2012-05-10,20,FALSE
"Gallup Tracking","National",45,46,2012-05-10,-1,TRUE
"Rasmussen","Wisconsin",49,45,2012-05-09,4,FALSE
"Survey USA","Washington",50,36,2012-05-09,14,FALSE
"Rasmussen","National",45,49,2012-05-09,-4,TRUE
"Gallup Tracking","National",44,47,2012-05-09,-3,TRUE
"Tennessean/Vanderbilt","Tennessee",40,47,2012-05-09,-7,FALSE
"Suffolk/7News","Florida",46,45,2012-05-08,1,FALSE
"Rasmussen","National",44,49,2012-05-08,-5,TRUE
"Gallup Tracking","National",44,47,2012-05-08,-3,TRUE
"Rasmussen","Massachusetts",56,35,2012-05-07,21,FALSE
"Rasmussen","National",44,49,2012-05-07,-5,TRUE
"Assoociated Press/GFK","National",50,42,2012-05-07,8,TRUE
"Reuters Ipsos","National",49,42,2012-05-07,7,TRUE
"Critical Insights","Maine",50,42,2012-05-07,8,FALSE
"Quinnipiac","Ohio",45,44,2012-05-07,1,FALSE
"Gallup Tracking","National",44,47,2012-05-07,-3,TRUE
"Rasmussen","National",45,47,2012-05-06,-2,TRUE
"PPP","Iowa",51,41,2012-05-06,10,FALSE
"PPP","Ohio",50,43,2012-05-06,7,FALSE
"Rasmussen","National",46,47,2012-05-05,-1,TRUE
"Gallup Tracking","National",45,46,2012-05-05,-1,TRUE
"Rasmussen","National",47,46,2012-05-04,1,TRUE
"Gallup Tracking","National",46,45,2012-05-04,1,TRUE
"IBD CSM TIPP","National",46,43,2012-05-04,3,TRUE
"Rasmussen","National",47,45,2012-05-03,2,TRUE
"Politico GWU Battleground","National",47,48,2012-05-03,-1,TRUE
"Gallup Tracking","National",45,45,2012-05-03,0,TRUE
"Rasmussen","Montana",44,51,2012-05-02,-7,FALSE
"Magellan","Arizona",43,52,2012-05-02,-9,FALSE
"Washinton Post","Virginia",51,44,2012-05-02,7,FALSE
"Rasmussen","National",47,45,2012-05-01,2,TRUE
"Rasmussen","National",47,44,2012-05-01,3,TRUE
"Democracy Corps Poll","National",47,47,2012-05-01,0,TRUE
"Gallup Tracking","National",45,46,2012-05-01,-1,TRUE
"Quinnipiac","Ohio",44,42,2012-05-01,2,FALSE
"Quinnipiac","Florida",43,44,2012-05-01,-1,FALSE
"Quinnipiac","Pennsylvania",47,39,2012-05-01,8,FALSE
"Rasmussen","Nevada",52,44,2012-04-30,8,FALSE
"Rasmussen","National",46,46,2012-04-30,0,TRUE
"Survey USA","North-Carolina",47,43,2012-04-30,4,FALSE
"Gallup Tracking","National",46,46,2012-04-30,0,TRUE
"Rasmussen","National",45,47,2012-04-29,-2,TRUE
"Marquette University","Wisconsin",51,42,2012-04-29,9,FALSE
"PPP","Montana",43,48,2012-04-29,-5,FALSE
"PPP","Virginia",51,43,2012-04-29,8,FALSE
"Gallup Tracking","National",46,47,2012-04-29,-1,TRUE
"Gallup Tracking","National",47,46,2012-04-28,1,TRUE
"Rasmussen","National",47,45,2012-04-27,2,TRUE
"Gallup Tracking","National",48,45,2012-04-27,3,TRUE
"Rasmussen","National",47,46,2012-04-26,1,TRUE
"Gallup Tracking","National",47,46,2012-04-26,1,TRUE
"Rasmussen","Florida",45,46,2012-04-25,-1,FALSE
"Rasmussen","National",45,48,2012-04-25,-3,TRUE
"Fox","National",46,46,2012-04-24,0,TRUE
"Rasmussen","National",44,49,2012-04-24,-5,TRUE
"Gallup Tracking","National",49,43,2012-04-24,6,TRUE
"Rasmussen","Virginia",44,45,2012-04-23,-1,FALSE
"Rasmussen","National",44,48,2012-04-23,-4,TRUE
"Gallup Tracking","National",49,42,2012-04-23,7,TRUE
"Rasmussen","National",44,47,2012-04-22,-3,TRUE
"PPP","New Mexico",54,40,2012-04-22,14,FALSE
"PPP","Texas",43,50,2012-04-22,-7,FALSE
"National Journal","National",47,39,2012-04-22,8,TRUE
"Gallup Tracking","National",47,44,2012-04-22,3,TRUE
"Rasmussen","National",45,46,2012-04-21,-1,TRUE
"Gallup Tracking","National",47,44,2012-04-21,3,TRUE
"Gallup Tracking","National",45,46,2012-04-20,-1,TRUE
"Arizona State","Arizona",40,42,2012-04-20,-2,FALSE
"WMUR/UNH","New Hampshire",51,42,2012-04-20,9,FALSE
"Rasmussen","National",45,46,2012-04-19,-1,TRUE
"Gallup Tracking","National",44,47,2012-04-19,-3,TRUE
"Rasmussen","Ohio",46,42,2012-04-18,4,FALSE
"Rasmussen","National",45,46,2012-04-18,-1,TRUE
"Gallup Tracking","National",43,48,2012-04-18,-5,TRUE
"Rasmussen","Missouri",45,48,2012-04-17,-3,FALSE
"Fox","Florida",45,43,2012-04-17,2,FALSE
"Fox","Ohio",45,39,2012-04-17,6,FALSE
"Rasmussen 4/15/2012","National",43,47,2012-04-17,-4,TRUE
"NBC/WSJ","National",49,43,2012-04-17,6,TRUE
"Gallup Tracking","National",44,48,2012-04-17,-4,TRUE
"CBS News   New York Times","National",46,46,2012-04-17,0,TRUE
"Quinnipiac","National",46,42,2012-04-17,4,TRUE
"Behavior Research Center","Arizona",42,40,2012-04-17,2,FALSE
"Gallup Tracking","National",43,48,2012-04-16,-5,TRUE
"Rasmussen","National",44,47,2012-04-15,-3,TRUE
"CNN ORC","National",52,43,2012-04-15,9,TRUE
"Rasmussen","National",44,47,2012-04-15,-3,TRUE
"PPP","Florida",50,45,2012-04-15,5,FALSE
"Reuters Ipsos","National",47,43,2012-04-15,4,TRUE
"Gallup Tracking","National",45,47,2012-04-15,-2,TRUE
"Pew Research","National",49,45,2012-04-15,4,TRUE
"Rasmussen","National",43,48,2012-04-13,-5,TRUE
"Marist","New York",57,35,2012-04-12,22,FALSE
"Fox","National",44,46,2012-04-11,-2,TRUE
"Rasmussen","National",44,48,2012-04-11,-4,TRUE
"Rasmussen","National",43,44,2012-04-11,-1,TRUE
"Rasmussen","National",45,45,2012-04-11,0,TRUE
"Rasmussen","North-Carolina",44,46,2012-04-10,-2,FALSE
"Rasmussen","National",45,45,2012-04-10,0,TRUE
"Rasmussen","Massachusetts",51,40,2012-04-09,11,FALSE
"Rasmussen","National",45,45,2012-04-09,0,TRUE
"Quinnipiac","New Jersey",49,40,2012-04-09,9,FALSE
"ABC Wash Post","National",51,44,2012-04-08,7,TRUE
"PPP","Colorado",53,40,2012-04-07,13,FALSE
"PPP","North-Carolina",49,44,2012-04-07,5,FALSE
"Rasmussen","National",46,44,2012-04-06,2,TRUE
"Rasmussen","National",47,44,2012-04-06,3,TRUE
"Rasmussen","National",46,46,2012-04-05,0,TRUE
"Dartmouth","New Hampshire",42,44,2012-04-05,-2,FALSE
"Roanoke College","Virginia",41,46,2012-04-05,-5,FALSE
"Rasmussen","National",45,47,2012-04-04,-2,TRUE
"Siena ","New York",60,35,2012-04-04,25,FALSE
"Rasmussen","New Mexico",52,36,2012-04-03,16,FALSE
"Rasmussen","National",44,47,2012-04-03,-3,TRUE
"EPIC MRA","Michigan",47,43,2012-04-03,4,FALSE
"Rasmussen","National",44,45,2012-04-02,-1,TRUE
"Quinnipiac","New York",56,33,2012-04-02,23,FALSE
"Rasmussen Tracking","National",45,45,2012-04-01,0,TRUE
