"Pollster","Region","Obama","Romney","Date","Obama.Romney","isNational"
"PPP","Nevada",51,43,2012-04-01,8,FALSE
"Rasmussen Reports","Wisconsin",52,41,2012-03-27,11,FALSE
"Howey/DePauw","Indiana",40,49,2012-03-27,-9,FALSE
"NBC Marist","Wisconsin",52,35,2012-03-27,17,FALSE
"Rasmussen Tracking","National",45,44,2012-03-27,1,TRUE
"Rasmussen Reports","Ohio",48,40,2012-03-26,8,FALSE
"USA Today / Gallup","National",49,45,2012-03-26,4,TRUE
"Quinnipiac","Florida",49,42,2012-03-26,7,FALSE
"Quinnipiac","Ohio",47,41,2012-03-26,6,FALSE
"Quinnipiac","Pennsylvania",45,42,2012-03-26,3,FALSE
"CNN ORC","National",54,43,2012-03-25,11,TRUE
"Marquette University","Wisconsin",48,43,2012-03-25,5,FALSE
"McClatchy Marist","National",46,44,2012-03-22,2,TRUE
"Rasmussen","National",47,44,2012-03-20,3,TRUE
"Rasmussen","Nevada",50,44,2012-03-19,6,FALSE
"Rasmussen Tracking","National",46,45,2012-03-19,1,TRUE
"Quinnipiac","Virginia",50,42,2012-03-18,8,FALSE
"Rasmussen Reports","Missouri",41,50,2012-03-15,-9,FALSE
"Rasmussen Reports","Florida",46,43,2012-03-13,3,FALSE
"Rasmussen Reports","Arizona",40,51,2012-03-13,-11,FALSE
"Rasmussen Tracking","National",44,46,2012-03-13,-2,TRUE
"FOX","National",46,42,2012-03-12,4,TRUE
"Rasmussen Tracking","National",45,45,2012-03-12,0,TRUE
"Quinnipiac","Pennsylvania",46,40,2012-03-12,6,FALSE
"Rasmussen Tracking","National",43,46,2012-03-11,-3,TRUE
"Bloomberg","National",47,47,2012-03-11,0,TRUE
"Reuters Ipsos","National",52,41,2012-03-11,11,TRUE
"PPP","North-Carolina",49,46,2012-03-11,3,FALSE
"PPP","Pennsylvania",49,42,2012-03-11,7,FALSE
"Pew Research","National",54,42,2012-03-11,12,TRUE
"CBS NYT","National",47,44,2012-03-11,3,TRUE
"IBD CSM TIPP","National",46,41,2012-03-11,5,TRUE
"Rasmussen Tracking","National",42,48,2012-03-10,-6,TRUE
"ABC Wash Post","National",47,49,2012-03-10,-2,TRUE
"Rasmussen Tracking","National",43,48,2012-03-09,-5,TRUE
"Rasmussen Tracking","National",49,42,2012-03-06,7,TRUE
"YouGov","National",49,41,2012-03-06,8,TRUE
"Rasmussen Tracking","National",48,42,2012-03-05,6,TRUE
"Rasmussen Tracking","National",45,43,2012-03-04,2,TRUE
"Rasmussen Tracking","National",47,43,2012-03-03,4,TRUE
"NBC WSJ","National",50,44,2012-03-03,6,TRUE
"NBC Marist","Ohio",50,38,2012-03-02,12,FALSE
"NBC Marist","Virginia",52,35,2012-03-02,17,FALSE
"Rasmussen Tracking","National",46,43,2012-02-29,3,TRUE
"Rasmussen Tracking","National",44,45,2012-02-28,-1,TRUE
"Rasmussen Reports","Wisconsin",47,42,2012-02-27,5,FALSE
"Rasmussen Tracking","National",44,44,2012-02-27,0,TRUE
"PPP","Wisconsin",53,39,2012-02-26,14,FALSE
"Survey USA","Georgia",42,49,2012-02-26,-7,FALSE
"Roanoke College","Virginia",42,43,2012-02-26,-1,FALSE
"Rasmussen Tracking","National",45,43,2012-02-25,2,TRUE
"Rasmussen Tracking","National",48,41,2012-02-23,7,TRUE
"Rasmussen","Pennsylvania",45,44,2012-02-23,1,FALSE
"Rasmussen Tracking","National",49,39,2012-02-22,10,TRUE
"Politico GWU Battleground","National",53,43,2012-02-22,10,TRUE
"Rasmussen Reports","Virginia",49,43,2012-02-21,6,FALSE
"Rasmussen Reports","Virginia",51,43,2012-02-21,8,FALSE
"USA Today / Gallup","National",47,47,2012-02-21,0,TRUE
"YouGov","National",49,41,2012-02-21,8,TRUE
"Morning Call","Pennsylvania",48,37,2012-02-21,11,FALSE
"NBC Marist","Michigan",51,33,2012-02-20,18,FALSE
"NBC Marist","Arizona",40,45,2012-02-20,-5,FALSE
"Rasmussen Tracking","National",45,43,2012-02-20,2,TRUE
"AP","National",51,43,2012-02-20,8,TRUE
"Franklin Marshall","Pennsylvania",41,33,2012-02-20,8,FALSE
"Quinnipiac","National",46,44,2012-02-20,2,TRUE
"Rasmussen Tracking","National",46,42,2012-02-19,4,TRUE
"Marquette University","Wisconsin",53,38,2012-02-19,15,FALSE
"USA Today Gallup","National",46,50,2012-02-19,-4,TRUE
"Rasmussen Tracking","National",47,43,2012-02-15,4,TRUE
"Des Moines Register","Iowa",44,46,2012-02-15,-2,FALSE
"Rasmussen","National",47,43,2012-02-14,4,TRUE
"Ramussen","National",49,42,2012-02-13,7,TRUE
"CNN","National",51,46,2012-02-13,5,TRUE
"CBS News   New York Times","National",48,42,2012-02-13,6,TRUE
"PPP","Michigan",54,38,2012-02-12,16,FALSE
"Rasmussen Reports","National",48,42,2012-02-12,6,TRUE
"PPP","National",49,42,2012-02-12,7,TRUE
"Pew Research","National",52,44,2012-02-12,8,TRUE
"Quinnipiac","Ohio",46,44,2012-02-12,2,FALSE
"Rasmussen","Florida",47,44,2012-02-09,3,FALSE
"FOX","National",47,42,2012-02-09,5,TRUE
"Rasmussen","Ohio",45,41,2012-02-08,4,FALSE
"Rasmussen Reports","National",48,42,2012-02-06,6,TRUE
"Susquehanna","Pennsylvania",43,45,2012-02-06,-2,FALSE
"Reuters Ipsos","National",48,42,2012-02-06,6,TRUE
"Quinnipiac","Virginia",47,43,2012-02-06,4,FALSE
"PPP","North-Carolina",47,46,2012-02-05,1,FALSE
"Rasmussen Reports","National",49,42,2012-02-05,7,TRUE
"Rasmussen Reports","National",47,43,2012-02-04,4,TRUE
"ABC Wash Post","National",51,45,2012-02-04,6,TRUE
"Survey USA","Georgia",43,51,2012-02-02,-8,FALSE
"Rasmussen","National",45,45,2012-02-02,0,TRUE
"WMUR UNH","New Hampshire",50,40,2012-02-02,10,FALSE
"Rasmussen Reports","National",46,45,2012-02-01,1,TRUE
"Siena College Poll","New-York",63,31,2012-02-01,32,FALSE
"Rasmussen","National",47,43,2012-01-31,4,TRUE
"YouGov","National",49,40,2012-01-31,9,TRUE
"Rasmussen","National",47,42,2012-01-30,5,TRUE
"PPP","Ohio",49,42,2012-01-29,7,FALSE
"PPP","Missouri",45,45,2012-01-29,0,FALSE
"Rasmussen Reports","National",47,41,2012-01-29,6,TRUE
"USA Today Gallup","National",48,48,2012-01-28,0,TRUE
"Rasmussen","National",45,43,2012-01-28,2,TRUE
"NBC Marist","Florida",49,41,2012-01-27,8,FALSE
"Rasmussen","National",46,42,2012-01-27,4,TRUE
"Miami Herald","Florida",44,48,2012-01-26,-4,FALSE
"Rasmussen","National",45,42,2012-01-26,3,TRUE
"Purple Strategies","Florida",44,46,2012-01-26,-2,FALSE
"Rasmussen Reports","National",46,43,2012-01-25,3,TRUE
"EPIC MRA","Michigan",48,40,2012-01-25,8,FALSE
"NBC WSJ","National",49,43,2012-01-24,6,TRUE
"Suffolk","Florida",42,47,2012-01-24,-5,FALSE
"YouGov","National",47,41,2012-01-24,6,TRUE
"Rasmussen Reports","National",46,43,2012-01-23,3,TRUE
"Quinnipiac","Florida",45,45,2012-01-23,0,FALSE
"PPP","Minnesota",51,41,2012-01-22,10,FALSE
"Rasmussen Reports","National",45,43,2012-01-22,2,TRUE
"Marquette Law School Poll","Wisconsin",48,40,2012-01-22,8,FALSE
"Franklin Marshall","Pennsylvania",41,30,2012-01-22,11,FALSE
"Rasmussen","National",44,44,2012-01-21,0,TRUE
"NY1 Marist","New-York",58,35,2012-01-19,23,FALSE
"Mason Dixon","Virginia",45,44,2012-01-18,1,FALSE
"Poll Position","National",41,42,2012-01-17,-1,TRUE
"YouGov","National",48,44,2012-01-17,4,TRUE
"CBS","National",45,45,2012-01-16,0,TRUE
"Pew Research Center","National",44,32,2012-01-16,12,TRUE
"Pew Research Center","National",50,45,2012-01-16,5,TRUE
"Quinnipiac","New-Jersey",48,38,2012-01-16,10,FALSE
"Quinnipiac","Ohio",44,42,2012-01-16,2,FALSE
"PPP","Texas",42,49,2012-01-15,-7,FALSE
"PPP","Texas",39,47,2012-01-15,-8,FALSE
"PPP","Texas",38,40,2012-01-15,-2,FALSE
"PPP","National",49,44,2012-01-15,5,TRUE
"ABC","National",46,48,2012-01-15,-2,TRUE
"FOX","National",46,45,2012-01-14,1,TRUE
"FOX","National",42,35,2012-01-14,7,TRUE
"CNN","National",47,48,2012-01-12,-1,TRUE
"Tarrance Group","Florida",46,45,2012-01-12,1,FALSE
"Civitas","North-Carolina",39,48,2012-01-11,-9,FALSE
"Democracy Corps Poll","National",47,46,2012-01-11,1,TRUE
"Public Opinion Strategies for American Crossroads","Montana",36,53,2012-01-10,-17,FALSE
"Public Opinion Strategies","Montana",36,53,2012-01-10,-17,FALSE
"Rasmussen Reports","National",44,41,2012-01-10,3,TRUE
"Economist   YouGov","National",45,43,2012-01-10,2,TRUE
"GS Strategy Group","Wisconsin",43,44,2012-01-09,-1,FALSE
"Behavior Research Center","Arizona",37,43,2012-01-09,-6,FALSE
"Reuters Ipsos","National",48,43,2012-01-09,5,TRUE
"GS Strategy Group","Ohio",40,47,2012-01-08,-7,FALSE
"PPP","North-Carolina",46,45,2012-01-08,1,FALSE
"Quinnipiac","Florida",43,46,2012-01-08,-3,FALSE
"CBS","National",45,47,2012-01-08,-2,TRUE
"GS Strategy Group","Florida",42,47,2012-01-04,-5,FALSE
"Rasmussen Reports","National",42,42,2012-01-04,0,TRUE
"GS Strategy Group","Nevada",38,49,2012-01-03,-11,FALSE
"GS Strategy Group","New-Mexico",45,45,2012-01-03,0,FALSE
"GS Strategy Group","Virginia",44,47,2012-01-03,-3,FALSE
"YouGov","National",49,40,2012-01-03,9,TRUE
"Rasmussen Reports","National",39,45,2011-12-28,-6,TRUE
"Rasmussen Reports","National",44,41,2011-12-21,3,TRUE
"Economist YouGov","National",47,40,2011-12-20,7,TRUE
"Las Vegas Review Journal","Nevada",46,40,2011-12-20,6,FALSE
"Quinnipiac","Virginia",42,44,2011-12-19,-2,FALSE
"CNN ORC","National",52,45,2011-12-18,7,TRUE
"PPP","National",45,47,2011-12-18,-2,TRUE
"Rutgers Eagleton","New-Jersey",51,32,2011-12-18,19,FALSE
"USA Today Gallup","National",50,48,2011-12-18,2,TRUE
"ABC Washington Post","National",47,47,2011-12-18,0,TRUE
"Purple Strategies","Iowa",46,39,2011-12-16,7,FALSE
"Purple Strategies","New-Hampshire",45,48,2011-12-16,-3,FALSE
"Purple Strategies","New-Hampshire",49,41,2011-12-16,8,FALSE
"Rasmussen Reports","National",42,43,2011-12-15,-1,TRUE
"Mason Dixon","Georgia",38,55,2011-12-14,-17,FALSE
"PPP","Virginia",48,42,2011-12-13,6,FALSE
"PPP","New-Mexico",53,38,2011-12-12,15,FALSE
"AP GFK","National",47,46,2011-12-12,1,TRUE
"Reuters Ipsos","National",48,40,2011-12-12,8,TRUE
"NBC","National",47,45,2011-12-11,2,TRUE
"Rasmussen Reports","National",42,45,2011-12-09,-3,TRUE
"Nielson Brothers Polling","South-Dakota",29,48,2011-12-09,-19,FALSE
"USA Today Gallup","National",47,46,2011-12-07,1,TRUE
"Survey USA","Georgia",42,49,2011-12-07,-7,FALSE
"FOX","National",44,42,2011-12-07,2,TRUE
"NBC Marist","Florida",48,41,2011-12-07,7,FALSE
"Morning Call","Pennsylvania",45,41,2011-12-07,4,FALSE
"NBC Marist","South-Carolina",45,42,2011-12-06,3,FALSE
"Fairleigh Dickinson University","National",46,42,2011-12-05,4,TRUE
"Quinnipiac","Florida",42,45,2011-12-05,-3,FALSE
"Quinnipiac","Ohio",42,43,2011-12-05,-1,FALSE
"Quinnipiac","Pennsylvania",46,43,2011-12-05,3,FALSE
"PPP","Colorado",47,45,2011-12-04,2,FALSE
"PPP","North-Carolina",46,46,2011-12-04,0,FALSE
"PPP","Colorado",47,45,2011-12-04,2,FALSE
"Rasmussen Reports","National",42,40,2011-12-01,2,TRUE
"PPP","Florida",45,44,2011-12-01,1,FALSE
"NBC","New-Hampshire",43,46,2011-11-30,-3,FALSE
"PPP","Montana",40,50,2011-11-30,-10,FALSE
"NBC","New-Hamsphire",43,46,2011-11-30,-3,FALSE
"NBC","Iowa",46,39,2011-11-29,7,FALSE
"Field Poll","California",50,40,2011-11-27,10,FALSE
"Survey USA","Washington",49,41,2011-11-23,8,FALSE
"Rasmussen Reports","National",44,38,2011-11-22,6,TRUE
"PPP","Arizona",42,49,2011-11-20,-7,FALSE
"PPP","Pennsylvania",45,45,2011-11-20,0,FALSE
"WMUR UNH","New-Hampshire",44,47,2011-11-20,-3,FALSE
"Quinnipiac","National",45,44,2011-11-20,1,TRUE
"Rasmussen Reports","Florida",42,46,2011-11-17,-4,FALSE
"EPIC MRA","Michigan",41,46,2011-11-16,-5,FALSE
"Mellman Group","North-Dakota",33,47,2011-11-16,-14,FALSE
"FOX","National",42,44,2011-11-15,-2,TRUE
"Quinnipiac","New-Jersey",49,40,2011-11-14,9,FALSE
"Pew Research Center","National",49,47,2011-11-14,2,TRUE
"CNN","National",47,51,2011-11-13,-4,TRUE
"PPP","National",46,43,2011-11-13,3,TRUE
"Siena College Poll","New-York",59,34,2011-11-13,25,FALSE
"Survey USA","Kansas",31,56,2011-11-11,-25,FALSE
"Bloomberg","New-Hampshire",40,50,2011-11-11,-10,FALSE
"Survey USA","California",50,39,2011-11-10,11,FALSE
"SurveyUSA","Pennsylvania",44,44,2011-11-10,0,FALSE
"Rasmussen Reports","National",43,42,2011-11-10,1,TRUE
"McClatchy Marist","National",48,44,2011-11-10,4,TRUE
"Rasmussen Reports","Missouri",42,45,2011-11-09,-3,FALSE
"Politico","National",49,43,2011-11-09,6,TRUE
"LA Times","California",52,35,2011-11-09,17,FALSE
"Quinnipiac","Florida",42,45,2011-11-07,-3,FALSE
"Quinnipiac","Ohio",45,42,2011-11-07,3,FALSE
"Quinnipiac","Pennsylvania",44,43,2011-11-07,1,FALSE
"PPP","Ohio",50,41,2011-11-06,9,FALSE
"Survey USA","Minnesota",45,39,2011-11-06,6,FALSE
"SurveyUSA","Minnesota",45,39,2011-11-06,6,FALSE
"NBC","National",49,43,2011-11-05,6,TRUE
"ABC","National",46,47,2011-11-03,-1,TRUE
"Reuters","National",43,44,2011-11-03,-1,TRUE
"Rasmussen Reports","National",42,41,2011-11-02,1,TRUE
"PPP","North-Carolina",45,46,2011-10-31,-1,FALSE
"Quinnipiac","National",47,42,2011-10-31,5,TRUE
"Franklin Marshall","Pennsylvania",35,26,2011-10-30,9,FALSE
"Washington Poll","Washington",50,41,2011-10-30,9,FALSE
"USA Today","National",47,47,2011-10-27,0,TRUE
"NY1 Marist","New-York",59,35,2011-10-27,24,FALSE
"Rasmussen Reports","Wisconsin",45,41,2011-10-26,4,FALSE
"WPRI","Wisconsin",46,35,2011-10-26,11,FALSE
"St. Cloud State University","Minnesota",45,39,2011-10-26,6,FALSE
"Rasmussen Reports","National",42,44,2011-10-25,-2,TRUE
"Behavior Research Center","Arizona",45,40,2011-10-24,5,FALSE
"PPP","Wisconsin",46,43,2011-10-23,3,FALSE
"PPP","Nevada",46,46,2011-10-23,0,FALSE
"Critical Insights","Maine",41,40,2011-10-23,1,FALSE
"Quinnipiac","Ohio",45,41,2011-10-23,4,FALSE
"Democracy Corps Poll","National",45,45,2011-10-18,0,TRUE
"Rasmussen","National",43,42,2011-10-17,1,TRUE
"AP","National",48,45,2011-10-17,3,TRUE
"PPP","Ohio",46,46,2011-10-16,0,FALSE
"Paul Simon Public Policy Institute","Illinois",46,39,2011-10-16,7,FALSE
"SurveyUSA","Michigan",50,39,2011-10-14,11,FALSE
"Middle Tennessee State University","Tennessee",29,44,2011-10-14,-15,FALSE
"NBC","South-Carolina",40,46,2011-10-13,-6,FALSE
"Siena College Poll","New-York",55,37,2011-10-12,18,FALSE
"NBC","Florida",45,43,2011-10-12,2,FALSE
"Time","National",48,44,2011-10-10,4,TRUE
"PPP","National",45,45,2011-10-10,0,TRUE
"PPP","Iowa",46,42,2011-10-10,4,FALSE
"NBC","National",46,44,2011-10-10,2,TRUE
"Rasmussen","National",43,41,2011-10-09,2,TRUE
"Quinnipiac","Virginia",44,45,2011-10-09,-1,FALSE
"CNU","Virginia",42,46,2011-10-08,-4,FALSE
"Mason Dixon","New-Hampshire",41,52,2011-10-06,-11,FALSE
"WMUR","New-Hampshire",42,50,2011-10-06,-8,FALSE
"NBC","Iowa",43,40,2011-10-05,3,FALSE
"NBC","New-Hampshire",40,49,2011-10-05,-9,FALSE
"Pew","National",48,48,2011-10-04,0,TRUE
"PPP","North-Carolina",46,45,2011-10-03,1,FALSE
"Quinnipiac","National",42,46,2011-10-03,-4,TRUE
"ABC","National",46,48,2011-10-02,-2,TRUE
"Rasmussen Reports","National",42,44,2011-09-29,-2,TRUE
"Umass Lowell","Massachusetts",57,33,2011-09-28,24,FALSE
"FOX","National",45,42,2011-09-27,3,TRUE
"Gonzales Research and Marketing Strategies","Maryland",50,38,2011-09-27,12,FALSE
"Quinnipiac","Pennsylvania",45,43,2011-09-26,2,FALSE
"CNN","National",49,48,2011-09-25,1,TRUE
"PPP","Connecticut",47,45,2011-09-25,2,FALSE
"PPP","Florida",46,45,2011-09-25,1,FALSE
"Quinnipiac","Ohio",44,42,2011-09-25,2,FALSE
"Siena College Poll","New-York",56,36,2011-09-21,20,FALSE
"Rasmussen","National",44,41,2011-09-19,3,TRUE
"Inside Michigan Politics","Michigan",44,44,2011-09-19,0,FALSE
"Inside Michigan Politics","Michigan",50,39,2011-09-19,11,FALSE
"Quinnipiac","Florida",40,47,2011-09-19,-7,FALSE
"Harris Interactive","National",47,53,2011-09-19,-6,TRUE
"PPP","Texas",41,47,2011-09-18,-6,FALSE
"USA Today","National",47,49,2011-09-18,-2,TRUE
"Roanoke College","Virginia",37,45,2011-09-17,-8,FALSE
"McClatchy Marist","National",46,44,2011-09-14,2,TRUE
"Magellan Strategies","Pennsylvania",50,40,2011-09-14,10,FALSE
"Strategies 360","Washington",49,40,2011-09-14,9,FALSE
"Quinnipiac University","Connecticut",49,36,2011-09-13,13,FALSE
"Bloomberg","National",48,43,2011-09-12,5,TRUE
"PPP","Missouri",43,47,2011-09-12,-4,FALSE
"Reuters","National",49,43,2011-09-12,6,TRUE
"Quinnipiac University","Virginia",42,44,2011-09-12,-2,FALSE
"Field","California",51,38,2011-09-12,13,FALSE
"Rasmussen","National",40,43,2011-09-11,-3,TRUE
"PPP","National",49,45,2011-09-11,4,TRUE
"Magellan Strategies","North-Carolina",45,43,2011-09-08,2,FALSE
"PPP","West-Virginia",37,49,2011-09-04,-12,FALSE
"PPP","North-Carolina",45,44,2011-09-04,1,FALSE
"ABC","National",45,49,2011-09-01,-4,TRUE
"NBC","National",46,45,2011-08-31,1,TRUE
"Franklin Marshall","Pennsylvania",36,30,2011-08-29,6,FALSE
"LA Times","California",54,35,2011-08-28,19,FALSE
"Quinnipiac University","National",45,45,2011-08-27,0,TRUE
"Rasmussen Reports","National",43,39,2011-08-26,4,TRUE
"Capital Survey Research Center","Alabama",34,56,2011-08-25,-22,FALSE
"Sachs Mason Dixon","Florida",43,51,2011-08-22,-8,FALSE
"PPP","Iowa",49,39,2011-08-21,10,FALSE
"PPP","National",45,45,2011-08-21,0,TRUE
"Gallup","National",46,48,2011-08-18,-2,TRUE
"Magellan Strategies","Florida",39,49,2011-08-18,-10,FALSE
"EPIC","Michigan",43,45,2011-08-16,-2,FALSE
"PPP","Wisconsin",47,42,2011-08-14,5,FALSE
"PPP","Ohio",45,43,2011-08-14,2,FALSE
"Democracy Corps Poll","National",48,46,2011-08-10,2,TRUE
"AIF McLaughlin","Florida",44,45,2011-08-09,-1,FALSE
"CNN","National",49,48,2011-08-07,1,TRUE
"PPP","North-Carolina",46,43,2011-08-07,3,FALSE
"PPP","Colorado",48,41,2011-08-07,7,FALSE
"McClatchy Marist","National",46,41,2011-08-04,5,TRUE
"Quinnipiac University","Florida",45,43,2011-08-02,2,FALSE
"PPP","Vermont",54,34,2011-07-31,20,FALSE
"PPP","Nevada",47,46,2011-07-31,1,FALSE
"Quinnipiac University","Pennsylvania",42,44,2011-07-31,-2,FALSE
"PPP","Michigan",47,42,2011-07-24,5,FALSE
"PPP","Virginia",47,43,2011-07-24,4,FALSE
"FOX","National",47,41,2011-07-24,6,TRUE
"Quinnipiac University","Ohio",45,41,2011-07-18,4,FALSE
"PPP","National",45,45,2011-07-17,0,TRUE
"ABC","National",49,47,2011-07-17,2,TRUE
"NBC","National",48,41,2011-07-17,7,TRUE
"Rasmussen Reports","National",42,43,2011-07-17,-1,TRUE
"Sunshine State News","Florida",42,46,2011-07-12,-4,FALSE
"EPIC MRA","Michigan",42,46,2011-07-11,-4,FALSE
"Quinnipiac University","National",47,41,2011-07-11,6,TRUE
"PPP","North-Carolina",45,45,2011-07-10,0,FALSE
"Mason Dixon","Iowa",44,47,2011-07-07,-3,FALSE
"PPP","Pennsylvania",44,44,2011-07-05,0,FALSE
"PPP","New-Hampshire",44,46,2011-07-05,-2,FALSE
"UNH WMUR","New-Hampshire",43,47,2011-07-01,-4,FALSE
"PPP","Texas",42,50,2011-06-27,-8,FALSE
"PPP","New-Mexico",49,42,2011-06-26,7,FALSE
"McClatchy Marist","National",46,42,2011-06-23,4,TRUE
"Democracy Corps Poll","National",47,45,2011-06-21,2,TRUE
"PPP","Montana",41,49,2011-06-19,-8,FALSE
"Public Policy Polling","Florida",47,43,2011-06-19,4,FALSE
"NBC Wall Street Journal","National",49,43,2011-06-13,6,TRUE
"Public Policy Polling","National",47,45,2011-06-12,2,TRUE
"Quinnipiac University","Pennsylvania",47,40,2011-06-12,7,FALSE
"Tennessean Vanderbilt Poll","Tennessee",37,35,2011-06-08,2,FALSE
"FOX","National",48,41,2011-06-07,7,TRUE
"Reuters","National",51,38,2011-06-06,13,TRUE
"Quinnipiac University","National",47,41,2011-06-06,6,TRUE
"ABC","National",46,49,2011-06-05,-3,TRUE
"Democracy Corps Poll","National",48,44,2011-05-25,4,TRUE
"Suffolk University","National",46,43,2011-05-17,3,TRUE
"George Washington University","National",52,39,2011-05-12,13,TRUE
"Reuters/Ipsos","National",51,38,2011-05-09,13,TRUE
"Public Policy Polling","National",47,42,2011-05-08,5,TRUE
"Washington Post","Virginia",50,44,2011-05-04,6,FALSE
"Newsweek","National",42,36,2011-05-03,6,TRUE
"Newsweek","National",44,44,2011-05-01,0,TRUE
"CNN","National",54,43,2011-05-01,11,TRUE
"ABC Washington Post","National",49,45,2011-04-17,4,TRUE
"Dartmouth College","New-Hampshire",39,47,2011-04-14,-8,FALSE
"McClatchy Marist","National",46,45,2011-04-14,1,TRUE
"Suffolk University","Florida",42,43,2011-04-12,-1,FALSE
"Democracy Corps Poll","National",46,48,2011-04-12,-2,TRUE
"Mason Dixon","Florida",43,48,2011-04-07,-5,FALSE
"Fairleigh Dickinson","National",44,43,2011-03-28,1,TRUE
"Rasmussen Reports","National",45,40,2011-03-19,5,TRUE
"NBC WSJ","National",49,40,2011-02-28,9,TRUE
"Muhlenberg College","Pennsylvania",43,36,2011-02-28,7,FALSE
"EPIC/MRA","Michigan",41,46,2011-02-17,-5,FALSE
"Newsweek","National",49,47,2011-02-15,2,TRUE
"Democracy Corps Poll","National",48,46,2011-02-09,2,TRUE
"Democracy Corps Poll","National",48,46,2011-01-12,2,TRUE
"McClatchy Marist","National",51,38,2011-01-10,13,TRUE
"NBC WSJ","National",47,40,2010-12-13,7,TRUE
"McClatchy Marist","National",44,46,2010-12-08,-2,TRUE
"CNN","National",45,50,2010-10-30,-5,TRUE
"Deseret News","Utah",22,73,2010-04-28,-51,FALSE
"CNN","National",53,45,2010-04-11,8,TRUE
"Deseret News","Utah",27,67,2009-04-27,-40,FALSE
"NBC WSJ","National",48,35,2008-01-22,13,TRUE
"NBC WSJ","National",48,36,2007-11-05,12,TRUE
"NBC WSJ","National",51,34,2007-09-10,17,TRUE
"Rasmussen Reports","National",48,42,2002-02-06,6,TRUE
