Key,Name,Round.reached,Pct.1st.Serves.In,Aces,Double.Faults,Unforced.Errors,Win.on.1st.Serve,Win.on.2nd.Serve,Winners,Receiving.Points.Won,Break.Point.Conversions,Net.Approaches,Total.Points.Won,Fastest.Serve.Speed,Average.1st.Serve.Speed,Average.2nd.Serve.Speed,Sets.Played,Tie.Breaks.Played,Total.Games,Return.Games.Won,Server.Points.Won,Tournament,Server.points.won.by.total.games,Return.games.won.by.total.games,Winners.by.unforced.errors
10230,Greta Arn,3,56.33,3.33,6.33,20.33,64.67,42.33,13.67,40.67,30.33,61.5,70,178.5,167,136,2.33,0,22.33,4,40,AUS,1.79131213613972,0.179131213613972,0.672405312346286
10334,Sofia Arvidsson,1,67,1,3,29,53,32,8,40,25,100,53,162,150,119,2,0,16,1,26,AUS,1.625,0.0625,0.275862068965517
20458,Alberta Brianti,2,61.5,0.5,3.5,3.5,53.5,39,0.5,44.5,25,NA,60.5,NA,NA,NA,2,0,17.5,3.5,29,AUS,1.65714285714286,0.2,0.142857142857143
20556,Elena Baltacha,1,58,1,3,3,67,46,1,36,0,NA,62,NA,NA,NA,2,0,18,0,36,AUS,2,0,0.333333333333333
20576,Iveta Benesova,4,64.25,2.5,1.75,17,65.5,51.75,19.5,41.75,30.5,87.33,69.5,163.67,154,132.33,2.25,0,19.25,3.25,38.75,AUS,2.01298701298701,0.168831168831169,1.14705882352941
20596,Eva Birnerova,1,66,NA,10,10,48,32,NA,45,67,NA,57,NA,NA,NA,2,0,18,4,31,AUS,1.72222222222222,0.222222222222222,NA
20631,Marion Bartoli,3,62,3.33,4,19,71,48.67,13,47.33,40.33,72.67,61,173.67,164,150.33,2,0,17.67,3.67,33.67,AUS,1.90548953027731,0.207696661007357,0.684210526315789
20693,Nina Bratchikova,3,61.33,2.33,2.33,9.67,67,47.67,8.33,44.67,46.33,71,63.33,173,160,125,2.33,0,18.33,3.33,38.67,AUS,2.10965630114566,0.181669394435352,0.861427094105481
20702,Kateryna Bondarenko,1,64,0,5,5,69,30,0,36,75,NA,67,NA,NA,NA,2,1,22,3,41,AUS,1.86363636363636,0.136363636363636,0
30458,Kim Clijsters,6,62.5,2.6,4,30.17,75,44.67,23,50.67,50.17,83,77.17,174.5,158.33,139.83,2.33,0.33,21.67,4.67,42.33,AUS,1.9533917858791,0.215505306875865,0.762346702021876
30562,Petra Cetkovska,2,60.5,1.5,3,36,59.5,41.5,23.5,44,40.5,61,73,162,148,130.5,2.5,0,24.5,5,37.5,AUS,1.53061224489796,0.204081632653061,0.652777777777778
40130,Kimiko Date-Krumm,1,66,NA,6,43,56,29,18,32,100,50,44,148,134,112,2,0,17,2,29,AUS,1.70588235294118,0.117647058823529,0.418604651162791
40300,Lourdes Dominguez,1,43,0,NA,15,48,45,7,27,0,55,39,163,148,113,2,0,15,0,27,AUS,1.8,0,0.466666666666667
40313,Eleni Daniilidou,2,52,1,4.5,12.5,68,41,7.5,42,28,45,43.5,157.5,140,133.5,2,0,13.5,2.5,21.5,AUS,1.59259259259259,0.185185185185185,0.6
40344,Jelena Dokic,2,49,1,6,20.5,77,48.5,14.5,41.5,34.5,58.5,49.5,168,158,139,2,0,16,2.5,29.5,AUS,1.84375,0.15625,0.707317073170732
40388,Gisela Dulko,1,56,0,2,18,32,20,4,34,20,33,24,169,149,133,2,0,13,1,9,AUS,0.692307692307692,0.0769230769230769,0.222222222222222
60288,Stephanie Foretz,2,55.5,8,2,7.5,64.5,28.5,5,36,15,71,48,168,156,128,2,0,15.5,1.5,28.5,AUS,1.83870967741935,0.0967741935483871,0.666666666666667
80394,Daniela Hantuchova,3,67.67,0.67,4,33.33,60.33,33,20.67,44.67,50,69.67,79.33,162.33,148,128.33,2.67,0,24.33,5.67,46.67,AUS,1.91820797369503,0.233045622688039,0.62016201620162
80459,Andrea Hlavackova,1,59,3,7,7,69,39,3,32,33,NA,66,NA,NA,NA,3,0,24,1,43,AUS,1.79166666666667,0.0416666666666667,0.428571428571429
100153,Jelena Jankovic,4,52.75,2.67,4.25,30.25,68,50,17.5,52,53,69.75,63.75,175.25,164.5,141.5,2,0,16,4.5,34,AUS,2.125,0.28125,0.578512396694215
100162,Mathilde Johansson,1,48,4,12,12,63,48,4,43,36,NA,87,NA,NA,NA,3,0,27,4,46,AUS,1.7037037037037,0.148148148148148,0.333333333333333
110492,Klara Zakopalova,1,58,NA,6,6,52,43,NA,42,50,NA,70,NA,NA,NA,2,1,20,2,40,AUS,2,0.1,NA
110524,Anne Keothavong,1,35,0,3,3,17,27,0,19,0,NA,7,NA,NA,NA,1,0,6,0,4,AUS,0.666666666666667,0,0
110536,Kaia Kanepi,2,55,2.5,5,5,66,41,2.5,47.5,48,NA,61,NA,NA,NA,2,0,19,4.5,33,AUS,1.73684210526316,0.236842105263158,0.5
110544,Iryna Bremond,1,52,1,6,6,44,35,1,41,50,NA,43,NA,NA,NA,2,0,16,2,19,AUS,1.1875,0.125,0.166666666666667
110552,Svetlana Kuznetsova,3,64.33,2,3,38,57.33,48,25.67,51,56.67,66.67,88.67,171.33,148,117,2.67,0.33,25,6.33,44,AUS,1.76,0.2532,0.675526315789474
120330,Na Li,4,71.5,3.5,2,21.75,69,58.75,20,54.25,45.75,65.5,60,164,151.25,132.25,2,0.25,17,4.25,30.25,AUS,1.77941176470588,0.25,0.919540229885057
120420,Varvara Lepchenko,1,64,0,3,38,73,32,28,39,38,86,80,167,155,124,3,0,27,3,40,AUS,1.48148148148148,0.111111111111111,0.736842105263158
130611,Anabel Medina,3,59,1,1,5,55.67,49,8.5,50,66.5,39,45.67,159.5,149,115,1.67,0,11.33,4.33,21.33,AUS,1.88261253309797,0.382171226831421,1.7
130713,Bethanie Mattek-Sands,1,48,4,5,65,66,47,81,41,24,71,118,181,161,121,3,1,31,4,62,AUS,2,0.129032258064516,1.24615384615385
150185,Romina Oprandi,3,66.33,0.33,2.67,17,61,62,12,47.33,39,59.5,69.33,161,144.5,123.5,2.33,0,20.33,4.33,35.33,AUS,1.73782587309395,0.212985735366454,0.705882352941177
160379,Nadia Petrova,2,54.5,6,4.5,20,65.5,48.5,17.5,41,25.5,65,67,179,162,135,2.5,0,20,2.5,37.5,AUS,1.875,0.125,0.875
160391,Flavia Pennetta,1,68,1,1,1,60,38,1,41,40,NA,69,NA,NA,NA,3,0,24,4,39,AUS,1.625,0.166666666666667,1
160471,Shuai Peng,2,64.5,3.5,4,17,69.5,36.5,20,41.5,32,68,67.5,173.5,151,122.5,2,0,18.5,2.5,42,AUS,2.27027027027027,0.135135135135135,1.17647058823529
160481,Laura Pous-Tio,1,46,3,4,33,54,40,13,29,25,50,39,171,163,128,2,0,16,1,26,AUS,1.625,0.0625,0.393939393939394
160515,Pauline Parmentier,2,58.5,3,3.5,24.5,64.5,47.5,16,44.5,52.5,64,85,179,160,124,3,0,28.5,5.5,49,AUS,1.71929824561404,0.192982456140351,0.653061224489796
180356,Anastasia Rodionova,1,60,2,1,36,59,29,19,35,0,65,45,162,152,128,2,0,15,0,25,AUS,1.66666666666667,0,0.527777777777778
180384,Virginie Razzano,1,60,2,4,31,65,16,12,37,67,71,48,165,153,133,2,0,18,2,28,AUS,1.55555555555556,0.111111111111111,0.387096774193548
190666,Francesca Schiavone,2,49,3.5,5.5,28,75,46,20.5,45,61.5,65,57.5,177,156.5,124,2,0,17.5,3.5,33.5,AUS,1.91428571428571,0.2,0.732142857142857
190787,Samantha Stosur,1,69,3,3,33,52,44,12,38,50,60,64,178,155,136,2,1,22,3,40,AUS,1.81818181818182,0.136363636363636,0.363636363636364
190873,Chanelle Scheepers,1,57,0,9,36,53,38,15,44,44,53,73,166,144,128,3,0,24,4,40,AUS,1.66666666666667,0.166666666666667,0.416666666666667
190879,Barbora Zahlavova,2,68.5,1,2.5,12.5,53.5,48.5,4,45,77.5,58,50,164,152,130,2,0,16,3.5,29,AUS,1.8125,0.21875,0.32
200137,Tamarine Tanasugarn,1,63,0,4,47,49,36,11,40,60,75,56,152,134,123,3,0,20,3,33,AUS,1.65,0.15,0.234042553191489
220214,Roberta Vinci,2,70,1.5,0.5,11.5,65,51,9.5,57.5,78,53,53,165,153,119,2,0,15.5,3.5,27.5,AUS,1.7741935483871,0.225806451612903,0.826086956521739
230234,Serena Williams,4,56,7,2.75,25.25,77.75,54.25,23.75,49,51.75,62,58,188.5,165.5,132,2,0,16,3.5,32.75,AUS,2.046875,0.21875,0.940594059405941
260142,Vera Zvonareva,3,59.67,2,5.33,35,63.67,44.67,19.67,44.67,56,76.67,87,167.33,153.67,127.67,2.33,1.33,25,4.33,50.33,AUS,2.0132,0.1732,0.562
260144,Jie Zheng,4,63.75,0.33,3.5,30.25,61.5,51.25,18.25,47.25,64.75,65,57.5,165.75,146.25,125,2,0,16.5,4,33.25,AUS,2.01515151515152,0.242424242424242,0.603305785123967
310112,Sania Mirza,1,62,2,3,36,51,33,16,44,43,50,58,165,142,121,2,0,18,3,28,AUS,1.55555555555556,0.166666666666667,0.444444444444444
310137,Maria Sharapova,7,68.86,1.57,4.71,28.14,66.43,47.71,21.71,53,56.71,75.71,69.29,172.43,158.43,146.71,2.29,0,18,4.71,37.57,AUS,2.08722222222222,0.261666666666667,0.771499644633973
310169,Jarmila Gajdosova,1,43,6,4,42,77,41,28,33,0,75,51,187,167,135,2,0,18,0,29,AUS,1.61111111111111,0,0.666666666666667
310290,Stephanie Dubois,2,65,2,3.5,18.5,48.5,47,12,43.5,38,41,75.5,163,146,124,2.5,0,23,4.5,43,AUS,1.8695652173913,0.195652173913043,0.648648648648649
310419,Galina Voskoboeva,3,54,4,0.33,11.67,69.33,50.67,10.33,40,37.33,63,56.33,171,159,126,2,0,18.67,3,31.67,AUS,1.69630423138725,0.160685591858597,0.885175664095973
310431,Mandy Minella,1,57,1,2,2,38,35,1,37,33,NA,34,NA,NA,NA,2,0,14,1,17,AUS,1.21428571428571,0.0714285714285714,0.5
310494,Aleksandra Wozniak,2,55,3,5,12.5,72,42.5,11,47.5,53.5,80,79,168,151,133,2.5,0,21.5,4.5,42.5,AUS,1.97674418604651,0.209302325581395,0.88
310553,Lucie Safarova,1,75,2,1,1,63,54,2,27,0,NA,46,NA,NA,NA,2,0,18,0,31,AUS,1.72222222222222,0,2
310577,Maria Kirilenko,3,65.33,1.33,3.67,7,62.67,32.33,5.33,33.67,48.33,56,55.33,166.5,152.5,133.5,2.33,0,16.67,2.67,34.33,AUS,2.05938812237552,0.160167966406719,0.761428571428571
310623,Anna Chakvetadze,1,54,3,4,32,60,33,13,25,0,100,33,162,144,126,2,0,15,0,22,AUS,1.46666666666667,0,0.40625
310625,Vera Dushevina,1,50,2,3,19,43,30,7,33,50,50,32,178,167,129,2,0,14,1,17,AUS,1.21428571428571,0.0714285714285714,0.368421052631579
310626,Anastasiya Yakimova,1,48,2,6,6,37,48,2,39,100,NA,47,NA,NA,NA,2,0,17,2,27,AUS,1.58823529411765,0.117647058823529,0.333333333333333
310730,Casey Dellacqua,2,66,0.5,2.5,28,52,40.5,14.5,41,39,78.5,46.5,156.5,144,127.5,2,0,15,3.5,26.5,AUS,1.76666666666667,0.233333333333333,0.517857142857143
310761,Sara Errani,5,74.6,0.25,0.6,17.8,61,55.6,14.8,53.8,58.6,66.75,75.4,157.75,140.25,113,2.2,0.2,18.6,6,39.2,AUS,2.10752688172043,0.32258064516129,0.831460674157303
310775,Monica Niculescu,3,63.67,0,1.33,25.33,53.67,41,22.33,47,43.33,62.33,79.33,165.67,140,108.33,2.67,0,23.33,6,40,AUS,1.71453064723532,0.257179597085298,0.881563363600474
310849,Lucie Hradecka,2,45.5,4,3.5,21.5,74.5,47,19,46,24.5,50,59.5,187,178,136,2,0.5,18,2.5,30,AUS,1.66666666666667,0.138888888888889,0.883720930232558
311041,Tsvetana Pironkova,2,59.5,1.5,2,16.5,57.5,46.5,9.5,48.5,57.5,60,65.5,171,155,126,2,0,19,4.5,38,AUS,2,0.236842105263158,0.575757575757576
311044,Patricia Mayr-Achleitner,1,71,0,3,3,49,47,0,35,50,NA,46,NA,NA,NA,2,0,18,2,28,AUS,1.55555555555556,0.111111111111111,0
311168,Shahar Peer,2,73.5,0,1,5,53.5,38.5,1.5,45,52,25,43,160,138,122,2,0,14.5,3,23.5,AUS,1.62068965517241,0.206896551724138,0.3
311220,Elena Vesnina,1,62,4,1,1,53,59,4,49,46,NA,94,NA,NA,NA,3,0,27,6,49,AUS,1.81481481481481,0.222222222222222,4
311243,Olga Govortsova,2,64.5,1,3.5,11,59.5,37.5,5,41.5,22.5,50,46,164,148,131,2,0,15.5,2.5,25,AUS,1.61290322580645,0.161290322580645,0.454545454545455
311338,Carla Suarez,2,64.5,0,4.5,12.5,58,46.5,15,52,66,100,76,156,145,127,2.5,0,22.5,5.5,43.5,AUS,1.93333333333333,0.244444444444444,1.2
311362,Alla Kudryavtseva,1,48,2,4,4,57,51,2,40,36,NA,83,NA,NA,NA,3,0,30,4,45,AUS,1.5,0.133333333333333,0.5
311470,Angelique Kerber,3,65.67,2,2,21.67,62.67,46,22,45.67,41,66.33,62.67,167,145,117.67,2,0,16.67,4,33.33,AUS,1.999400119976,0.23995200959808,1.01522842639594
311493,Silvia Soler-Espinosa,1,44,2,2,2,63,40,2,34,100,NA,56,NA,NA,NA,2,0,18,1,36,AUS,2,0.0555555555555556,1
311550,Vania King,3,67.33,0.33,1.67,17,57,46,10.33,47.67,39.67,68,80,156,141,111.5,2.33,0.33,24,5.33,41.33,AUS,1.72208333333333,0.222083333333333,0.607647058823529
311578,Michaella Krajicek,1,45.5,3,6.5,14.5,72.5,50.5,8,29.5,30,64,57,178,164,139,2,1,22,3,50,AUS,2.27272727272727,0.136363636363636,0.551724137931034
311593,Johanna Larsson,1,63,2,1,1,47,55,2,35,33,NA,47,NA,NA,NA,2,0,18,2,27,AUS,1.5,0.111111111111111,2
311604,Ekaterina Makarova,5,65.2,1.6,1,20,60.6,51.6,14.2,49.4,47.8,71,68.8,167.75,154.25,116,2.2,0.2,18.8,5,35.6,AUS,1.8936170212766,0.265957446808511,0.71
311710,Ana Ivanovic,4,60.25,2.5,5,22,79.75,45.5,21.25,47.25,47,63.5,61.75,175,159.5,138,2,0.25,18,3.5,35,AUS,1.94444444444444,0.194444444444444,0.965909090909091
311779,Shuai Zhang,1,70,3,8,30,62,14,22,39,40,40,56,168,143,122,2,0,18,2,34,AUS,1.88888888888889,0.111111111111111,0.733333333333333
311791,Aravane Rezai,1,55,4,6,33,71,31,23,36,33,67,57,172,144,125,2,0,19,2,34,AUS,1.78947368421053,0.105263157894737,0.696969696969697
312001,Victoria Azarenka,7,64.14,1.67,5,22,74.14,53.57,20,52.86,54.71,72.86,68.71,169.43,152.86,134.43,2.29,0.14,18.29,5.43,37.86,AUS,2.06998359759431,0.296883542919628,0.909090909090909
312049,Bojana Bobusic,1,57,3,0,24,67,30,15,29,0,75,38,162,154,128,2,0,16,0,24,AUS,1.5,0,0.625
312086,Marina Erakovic,2,53,4,3,25,62.5,49.5,27,44,51.5,79,96.5,174,162,128,2.5,1,28,4.5,55.5,AUS,1.98214285714286,0.160714285714286,1.08
312121,Alize Cornet,1,61,NA,5,54,45,45,36,45,26,49,98,167,147,120,3,0,27,5,49,AUS,1.81481481481481,0.185185185185185,0.666666666666667
312251,Agnieszka Radwanska,5,70,3,1.6,13.6,67.8,45.8,16,52.8,60.4,60.2,75,165.8,145.2,116,2.4,0.4,20.8,5.4,41.8,AUS,2.00961538461538,0.259615384615385,1.17647058823529
312336,Stefanie Voegele,1,57,1,5,39,61,41,18,42,27,61,99,167,151,118,3,0,28,4,56,AUS,2,0.142857142857143,0.461538461538462
312469,Sorana Cirstea,3,56.67,4,3.67,27.33,59.67,43.67,22.67,49,49.33,68.5,82,174.5,161,132.5,2.67,0.67,24.33,5.33,41.33,AUS,1.69872585285656,0.219071105630908,0.829491401390414
312520,Sabine Lisicki,4,59,2.75,5,35.5,65,47.25,29.25,50.25,56.5,70,84.25,186.25,157.75,131.25,2.75,0,23.75,5.25,46.25,AUS,1.94736842105263,0.221052631578947,0.823943661971831
312536,Yanina Wickmayer,1,65,0,4,4,66,37,0,30,50,NA,47,NA,NA,NA,2,0,20,1,30,AUS,1.5,0.05,0
312578,Kristina Barrois,1,67,7,1,1,57,61,7,33,67,NA,66,NA,NA,NA,2,1,22,2,41,AUS,1.86363636363636,0.0909090909090909,7
312580,Magdalena Rybarikova,1,74,5,1,1,58,26,5,31,0,NA,51,NA,NA,NA,2,0,16,0,36,AUS,2.25,0,5
312584,Evgeniya Rodina,1,73,1,4,4,51,27,1,32,33,NA,39,NA,NA,NA,2,0,16,1,25,AUS,1.5625,0.0625,0.25
312711,Jamie Hampton,2,52,1,1.5,12.5,53,48.5,3.5,45.5,27.5,57,44.5,181,162,135,2,0,13.5,3,24.5,AUS,1.81481481481481,0.222222222222222,0.28
312712,Alexandra Dulgheru,1,70,0,6,62,56,46,37,42,46,78,114,159,141,125,3,2,35,6,62,AUS,1.77142857142857,0.171428571428571,0.596774193548387
312738,Irena Pavlovic,1,57,2,9,9,74,31,2,40,43,NA,80,NA,NA,NA,2,1,25,3,46,AUS,1.84,0.12,0.222222222222222
312848,Ayumi Morita,1,73,0,5,37,49,36,21,50,54,47,80,154,139,124,3,0,28,7,42,AUS,1.5,0.25,0.567567567567568
312850,Alison Riske,1,70,1,4,4,52,38,1,49,67,NA,89,NA,NA,NA,3,0,25,6,42,AUS,1.68,0.24,0.25
312894,Dominika Cibulkova,2,63.5,1.5,3.5,29.5,74,40,19,48,39.5,67,91,169,160,131,2.5,0,25.5,5,45,AUS,1.76470588235294,0.196078431372549,0.644067796610169
312962,Anna Tatishvili,2,71.5,0,1,30.5,56,62.5,16.5,41,66.5,56.5,69.5,152.5,138,126.5,2,1,20.5,3,40.5,AUS,1.97560975609756,0.146341463414634,0.540983606557377
313035,Tamira Paszek,1,64,2,3,16,56,53,8,27,0,100,43,164,147,123,2,0,17,0,29,AUS,1.70588235294118,0,0.5
313131,Urszula Radwanska,2,68.5,1,4,4,54.5,34,1,51,60.5,NA,84,NA,NA,NA,3,0,24.5,6,40.5,AUS,1.6530612244898,0.244897959183673,0.25
313169,Irina-Camelia Begu,1,70,NA,3,3,38,29,NA,49,31,NA,55,NA,NA,NA,2,0,19,4,20,AUS,1.05263157894737,0.210526315789474,NA
313215,Alexandra Cadantu,1,63,0,3,3,35,17,0,24,0,NA,18,NA,NA,NA,2,0,13,0,9,AUS,0.692307692307692,0,0
313349,Arantxa Rus,1,57,1,4,4,45,33,1,47,71,NA,61,NA,NA,NA,2,1,20,5,28,AUS,1.4,0.25,0.25
313381,Julia Goerges,4,55,3.67,2,20.75,58.25,53.25,18.75,43,77.75,61.33,54.5,175,160,121.33,2.25,0.25,17.75,3,33,AUS,1.85915492957746,0.169014084507042,0.903614457831325
313402,Caroline Wozniacki,5,67.2,3.2,1,18,64.6,53.2,16.2,51.8,63.4,66.8,70.2,173,155.6,121.8,2,0.4,18.2,4.8,39.8,AUS,2.18681318681319,0.263736263736264,0.9
313485,Rebecca Marino,1,48,4,4,4,73,31,4,32,33,NA,49,NA,NA,NA,2,0,18,1,32,AUS,1.77777777777778,0.0555555555555556,1
313537,Ksenia Pervak,1,57,NA,5,24,41,46,7,39,100,100,40,163,143,126,2,0,16,2,24,AUS,1.5,0.125,0.291666666666667
313711,Petra Martic,1,56,3,3,3,56,41,3,38,40,NA,49,NA,NA,NA,2,0,18,2,30,AUS,1.66666666666667,0.111111111111111,1
313796,Anastasia Pavlyuchenkova,2,60,2,9,34,64,33,47,49.5,40.5,80,88,172,146,132,2.5,0.5,25.5,5.5,42,AUS,1.64705882352941,0.215686274509804,1.38235294117647
313803,Olivia Rogowska,2,67,2,4,33,60.5,38,16.5,39.5,69,89,55,161.5,146,128.5,2,0,16,3,34.5,AUS,2.15625,0.1875,0.5
313923,Kai-Chen Chang,2,59.5,2,4,24,62.5,43,8.5,44,85.5,53,58,168,147,135,2,0,18,3.5,32.5,AUS,1.80555555555556,0.194444444444444,0.354166666666667
313968,Polona Hercog,1,57,0,3,3,61,48,0,35,60,NA,57,NA,NA,NA,2,1,22,3,35,AUS,1.59090909090909,0.136363636363636,0
314206,Petra Kvitova,6,63.83,3.33,2.67,29.67,71,55.33,27.5,49.33,42.83,65.83,68.83,175.17,157.5,140.5,2.33,0.17,19.17,4.33,36,AUS,1.87793427230047,0.225873761085029,0.926862150320189
314320,Simona Halep,1,69,2,3,3,57,38,2,43,29,NA,91,NA,NA,NA,3,0,28,5,48,AUS,1.71428571428571,0.178571428571429,0.666666666666667
314369,Bojana Jovanovski,1,56,0,4,24,45,29,13,43,33,67,46,170,145,123,2,0,17,3,21,AUS,1.23529411764706,0.176470588235294,0.541666666666667
314545,Irina Falconi,1,61,3,6,6,56,29,3,47,33,NA,71,NA,NA,NA,2,0,20,4,36,AUS,1.8,0.2,0.5
314622,Isabella Holland,1,76,1,3,3,50,20,1,33,0,NA,34,NA,NA,NA,2,0,14,0,18,AUS,1.28571428571429,0,0.333333333333333
314757,Maria Joao,1,46,2,10,32,62,48,11,30,0,57,49,175,159,137,2,0,19,0,31,AUS,1.63157894736842,0,0.34375
314917,Christina McHale,3,59.67,3,1,19.67,61.33,46.33,15.67,41.67,34,64.5,71,173,155,129,2.33,0.33,21,3.33,38.33,AUS,1.8252380952381,0.158571428571429,0.796644636502288
315083,Paula Ormaechea,2,60.5,1,4,15,59.5,36.5,13.5,43,43.5,75,74,177,163,122,2.5,0,22,4,40.5,AUS,1.84090909090909,0.181818181818182,0.9
315295,Lesia Tsurenko,2,64.5,0.5,7,30,53.5,36,15,56.5,54,70,87,166,145,134,2.5,0.5,24.5,8,37,AUS,1.51020408163265,0.326530612244898,0.5
315365,Mona Barthel,3,57.67,1.33,2.33,17,73.33,64.67,13.33,51.33,48,91.5,49.67,176,156,127.5,1.67,0,15,2.33,28,AUS,1.86666666666667,0.155333333333333,0.784117647058824
315428,Valeria Savinykh,1,73,1,1,1,40,46,1,33,50,NA,33,NA,NA,NA,2,0,15,1,20,AUS,1.33333333333333,0.0666666666666667,1
315683,Sloane Stephens,2,58,4.5,5.5,26,67,42.5,15,47,41,67,78.5,172,150,120,2,0.5,21.5,4.5,40.5,AUS,1.88372093023256,0.209302325581395,0.576923076923077
316629,Laura Robson,1,63,3,7,31,51,36,10,32,0,0,42,169,154,139,2,0,14,0,27,AUS,1.92857142857143,0,0.32258064516129
316959,Madison Keys,1,67,2,2,28,52,33,7,30,0,100,35,187,167,121,2,0,15,0,21,AUS,1.4,0,0.25
316981,Heather Watson,1,56,NA,3,27,44,33,10,31,0,33,31,169,153,127,2,0,13,0,19,AUS,1.46153846153846,0,0.37037037037037
318033,Ashleigh Barty,1,49,7,6,43,76,34,17,36,40,60,62,170,159,127,2,1,21,2,37,AUS,1.76190476190476,0.0952380952380952,0.395348837209302
